set putPlayerInSlot [1,*,*]
:                   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15 :=
CALDARA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CALDERONI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CALHANOGLU          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CALLEJON            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CAMBIAGHI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CAN                 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CANDREVA            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CANGIANO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CAPEZZI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CAPRARI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CAPUTO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CASSATA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CASTAGNE            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CASTILLEJO          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CASTRO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CASTROVILLI         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CATALDI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CECCHERINI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CEPPITELLI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CERAVOLO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CEROFOLINI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CERRI               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CETIN               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CHABOT              0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
CHANCELLOR          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CHIELLINI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CHIESA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CHIRICHES           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CICIRETTI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CIGARINI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CIONEK              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CIPRIANO            0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
CISTANA             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
COLLEY              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
COLLEYE             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
COLOMBATTO          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
COLOMBI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CONSIGLI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CONTI               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CORBO               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CORIC               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CORNELIUS           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CORREA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
COULIBALY           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CRAGNO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CRESCENZI           0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
CRISCITO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CRISTANTE           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CRISTIANORONALDO    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CRISTOFORO          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CUADRADO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CURCIO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DABO                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DACOSTA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DALBERT             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DALESSANDRO         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DAMBROSIO           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DANILO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DANILOLAR           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DANZI               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DAWIDOWICZ          0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
DEANGELIS           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEFREL              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEIOLA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DELIGT              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DELLORCO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEMAIO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEMIRAL             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
DENSWIL             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEPAOLI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEPAUL              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DERMAKU             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
DEROON              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DESCIGLIO           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DESILVESTRI         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DESPODOV            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DESSENA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DESTRO              1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DEVRIJ              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIAWARA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DICARMINE           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DICKMANN            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIFRANCESCOF        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIGAUDIO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIJKS               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DILORENZO           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DIMARCO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DJIDJI              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DJIMSITI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DJURICIC            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DONNARUMMAAL        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DONNARUMMAAN        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DONNARUMMAG         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DOUGLASCOSTA        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DRAGOWSKI           0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
DUARTE              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DUNCAN              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DURMISI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DYBALA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DZEKO               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DZEMAILI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EDERA               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EKDAL               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ELMAS               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ELYAMIQ             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EMPEREUR            0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
ESPOSITOSE          1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
EYSSERIC            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FAGIOLI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FALCINELLI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FALCO               1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FALCONE             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
FALLETTI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FARAGO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FARAONI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FARES               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FARIAS              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FAVILLI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FAZIO               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FELIPE              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FERRARIA            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FERRARIG            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FIAMOZZI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FLOCCARI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FLORENZI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FOFANA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FREULER             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
FUZATO              0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
GABBIA              0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
GABBIADINI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GABRIEL             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
GAETANO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GAGLIARDINI         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GAGLIOLO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GALLO               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
