"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"PELLEGRINI LO","NA","36","NA","NA","C","NA","5.774257147820975","13","14","1","",""
"RUIZ","NA","36","NA","NA","C","NA","5.774257147820975","13","14","1","",""
"VRSALJKO","NA","36","NA","NA","D","NA","5.774257147820975","13","14","1","",""
"CECCHERINI","1.0671921922","37","5.9054054054","Crotone","D","6","5.75","5","6","1","",""
"MANDRAGORA","1.2253968254","36","6.0555555556","Crotone","C","6","5.7368421053","9","9","1","",""
"PJANIC","3.2989247312","31","7.0322580645","Juventus","C","6.5","5.7368421053","21","20","1","",""
"BELOTTI","8.8054435484","32","6.78125","Torino","A","5.75","5.7105263158","29","29","1","BRYAN","17"
"LASAGNA","5.3737684729","29","7.4655172414","Udinese","A","6.5","5.6973684211","20","22","1","",""
"FAZIO","1.2230392157","34","6.3382352941","Roma","D","6.25","5.6710526316","11","11","1","",""
"RINCON","0.6783730159","36","5.9861111111","Torino","C","6","5.6710526316","8","7","1","",""
"CAPRARI","2.4830659537","34","6.3235294118","Sampdoria","A","6","5.6578947368","9","10","1","",""
"PADOIN","0.7132132132","37","5.8108108108","Cagliari","C","5.5","5.6578947368","5","4","1","",""
"NAINGGOLAN","2.823655914","31","6.9032258065","Roma","C","6.5","5.6315789474","25","25","1","",""
"MISSIROLI","0.7176470588","35","6.1","Sassuolo","C","6","5.6184210526","7","6","1","",""
"PIATEK","NA","35","NA","NA","A","NA","5.6077246725648235","15","13","1","",""
"CALHANOGLU","3.7198924731","31","6.8548387097","Milan","C","6.5","5.5921052632","20","21","1","",""
"D'AMBROSIO","1.4699197861","34","6.1911764706","Inter","D","6","5.5394736842","7","8","1","ME",""
"BONUCCI","1.4117647059","35","6","Milan","D","6","5.5263157895","12","12","1","VE","23"
"DE ROON","1.4048573975","34","6.1617647059","Atalanta","C","6","5.5131578947","8","8","1","VE","3"
"BROZOVIC","3.1478494624","31","6.7419354839","Inter","C","6","5.5","15","16","1","",""
"HANDANOVIC","1.3513513514","38","5.5","Inter","P","5.75","5.5","15","16","1","",""
"HYSAJ","0.2785714286","35","5.9714285714","Napoli","D","6","5.5","9","9","1","",""
"IONITA","0.2339285714","36","5.7916666667","Cagliari","C","5.75","5.4868421053","8","9","1","",""
"PANDEV","2.6290322581","32","6.5","Genoa","A","6","5.4736842105","11","9","1","",""
"RADOVANOVIC","0.8201680672","35","5.9428571429","Chievo","C","6","5.4736842105","7","7","1","",""
"CAMPBELL","NA","35","NA","NA","A","NA","5.424875656402313","11","12","1","",""
"CORREA","NA","35","NA","NA","C","NA","5.424875656402313","12","12","1","",""
"LA GUMINA","NA","35","NA","NA","A","NA","5.424875656402313","11","12","1","",""
"MACHIS","NA","35","NA","NA","A","NA","5.424875656402313","12","12","1","",""
"PUSSETTO","NA","35","NA","NA","A","NA","5.424875656402313","11","12","1","",""
"SORIANO","NA","35","NA","NA","C","NA","5.424875656402313","12","12","1","BRYAN","5"
"TEODORCZYK","NA","35","NA","NA","A","NA","5.424875656402313","11","12","1","",""
"MARUSIC","1.8346774194","32","6.4375","Lazio","C","6","5.4210526316","9","9","1","VE","8"
"MASIELLO A","1.9365591398","31","6.6451612903","Atalanta","D","6.5","5.4210526316","13","14","1","",""
"SILVESTRE","1.0207219251","34","6.0441176471","Sampdoria","D","6","5.4078947368","7","7","1","",""
"MANDZUKIC","2.8941532258","32","6.40625","Juventus","A","6","5.3947368421","20","18","1","",""
"PAROLO","3.1349462366","31","6.5806451613","Lazio","C","6","5.3684210526","13","13","1","",""
"ALBIOL","1.5790322581","31","6.564516129","Napoli","D","6.5","5.3552631579","12","13","1","",""
"CUTRONE","6.8237433862","28","7.2678571429","Milan","A","6","5.3552631579","17","17","1","",""
"LAXALT","1.8324092742","32","6.328125","Genoa","C","6","5.3289473684","9","9","1","",""
"HETEMAJ","1.9798387097","32","6.3125","Chievo","C","6","5.3157894737","5","6","1","",""
"BIRAGHI","1.0875668449","34","5.8970588235","Fiorentina","D","6","5.2763157895","7","6","1","",""
"PRAET","0.9191028226","32","6.234375","Sampdoria","C","6","5.25","9","10","1","",""
"BASELLI","2.0796370968","32","6.21875","Torino","C","6","5.2368421053","10","10","1","",""
"CACCIATORE","1.0771780303","33","6.0303030303","Chievo","D","6","5.2368421053","7","7","1","",""
"BAKAYOKO","NA","33","NA","NA","C","NA","5.221409251568102","10","11","1","",""
"BERISHA V","NA","33","NA","NA","C","NA","5.221409251568102","10","11","1","",""
"DIONISI","NA","33","NA","NA","A","NA","5.221409251568102","10","11","1","",""
"DJORDJEVIC","NA","33","NA","NA","A","NA","5.221409251568102","10","11","1","",""
"NZONZI","NA","33","NA","NA","C","NA","5.221409251568102","10","11","1","",""
"RIGONI E","NA","33","NA","NA","A","NA","5.221409251568102","12","11","1","",""
