,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
337,337,,,,,,,,10.9142312757351,"CRISTIANORONALDO",2610,"Pc","Juventus",45,46,-1,77.5563919338044
338,338,,,,,,,,8.97794691011663,"LUKAKUR",2531,"Pc","Inter",36,35,1,59.1877727915875
339,339,,,,,,,,8.76280420282569,"ZAPATAD",608,"Pc","Atalanta",35,36,-1,57.146815109119
127,127,568,"A","QUAGLIARELLA","Sampdoria",37,6.43,8.64,8.41263157894737,"QUAGLIARELLA",568,"Pc","Sampdoria",33,34,-1,53.8248921125466
273,273,2756,"A","PIATEK","Milan",37,6.35,8.07,7.85763157894737,"PIATEK",2756,"Pc","Milan",37,38,-1,48.5598681290089
94,94,410,"A","MERTENS","Napoli",35,6.31,7.96,7.33157894736842,"MERTENS",410,"Pc","Napoli",28,27,1,43.5694542157363
301,301,2819,"A","CAPUTO","Empoli",38,6.08,7.14,7.14,"CAPUTO",2819,"Pc","Sassuolo",27,26,1,41.752034841618
97,97,441,"A","BELOTTI","Torino",37,6.19,7.28,7.08842105263158,"BELOTTI",441,"Pc","Torino",31,30,1,41.2627296255093
340,340,,,,,,,,7.04166254449816,"GOMEZA",26,"T;A","Atalanta",27,27,0,40.8191536493707
198,198,2012,"A","MILIK","Napoli",35,6.07,7.53,6.93552631578947,"MILIK",2012,"Pc","Napoli",28,28,0,39.8122891634725
81,81,383,"A","PETAGNA","SPAL",36,6.1,7.32,6.93473684210526,"PETAGNA",383,"Pc","SPAL",26,25,1,39.8047997979198
155,155,785,"A","IMMOBILE","Lazio",35,6.04,7.41,6.825,"IMMOBILE",785,"Pc","Lazio",36,34,2,38.7637779860966
341,341,,,,,,,,6.61137712991628,"MARTINEZL",2764,"Pc","Inter",25,26,-1,36.7372382844336
192,192,2002,"C","CHIESA","Fiorentina",37,6.24,6.73,6.55289473684211,"CHIESA",2002,"W;A","Fiorentina",27,27,0,36.1824433256045
277,277,2762,"A","KOUAME'","Genoa",38,6.07,6.46,6.46,"KOUAME",2762,"A","Genoa",18,17,1,35.3011946455718
342,342,,,,,,,,6.39623442262534,"SANCHEZA",2475,"A","Inter",24,24,0,34.6962806019651
142,142,643,"A","DEFREL","Sampdoria",35,5.97,6.94,6.39210526315789,"DEFREL",643,"A","Sassuolo",15,15,0,34.6571092080408
43,43,247,"A","PAVOLETTI","Cagliari",32,6.09,7.53,6.34105263157895,"PAVOLETTI",247,"Pc","Cagliari",25,26,-1,34.1727969023006
35,35,226,"D","IZZO","Torino",37,6.23,6.5,6.32894736842105,"IZZO",226,"Dd;Dc","Torino",16,16,0,34.057959963826
78,78,375,"A","SUSO","Milan",35,6.16,6.87,6.32763157894737,"SUSO",375,"W;A","Milan",20,20,0,34.0454776879049
25,25,152,"C","ZIELINSKI","Napoli",36,6.15,6.62,6.27157894736842,"ZIELINSKI",152,"C;T","Napoli",16,17,-1,33.5137327336642
119,119,531,"A","BERARDI","Sassuolo",35,6.1,6.77,6.23552631578947,"BERARDI",531,"A","Sassuolo",18,18,0,33.1717183734249
343,343,,,,,,,,6.1810917153344,"MILINKOVICSAVIC",645,"C;T","Lazio",23,23,0,32.6553229194966
122,122,536,"A","POLITANO","Inter",36,6.04,6.51,6.16736842105263,"POLITANO",536,"W;A","Inter",14,14,0,32.5251364807098
30,30,177,"C","ILICIC","Atalanta",31,6.39,7.55,6.15921052631579,"ILICIC",177,"A","Atalanta",26,26,0,32.4477463699987
113,113,513,"D","ACERBI","Lazio",37,6.14,6.31,6.14394736842105,"ACERBI",513,"Dc","Lazio",14,14,0,32.3029519693134
109,109,495,"C","CORREA","Lazio",34,6.26,6.78,6.06631578947368,"CORREA",495,"A","Lazio",21,20,1,31.5664976899661
248,248,2288,"D","N'KOULOU","Torino",36,6.25,6.31,5.97789473684211,"NKOULOU",2288,"Dc","Torino",15,15,0,30.7276887480654
344,344,,,,,,,,5.96594900804346,"DEPAUL",1996,"T;A","Udinese",22,22,0,30.6143652370281
345,345,,,,,,,,5.96594900804346,"RAFAELLEAO",4510,"Pc","Milan",22,22,0,30.6143652370281
346,346,,,,,,,,5.96594900804346,"IAGOFALQUE",475,"A","Torino",22,22,0,30.6143652370281
347,347,,,,,,,,5.96594900804346,"LOZANO",4517,"A","Napoli",22,22,0,30.6143652370281
144,144,647,"A","DZEKO","Roma",33,6,6.83,5.93131578947368,"DZEKO",647,"Pc","Roma",31,30,1,30.2858161804569
165,165,1850,"C","KESSIE'","Milan",34,6.06,6.62,5.92315789473684,"KESSIE",1850,"C","Milan",12,12,0,30.2084260697458
219,219,2167,"A","ORSOLINI","Bologna",32,6.19,7.03,5.92,"ORSOLINI",2167,"W;A","Bologna",17,17,0,30.1784686075351
211,211,2130,"D","HATEBOER","Atalanta",34,6.06,6.57,5.87842105263158,"HATEBOER",2130,"E","Atalanta",15,15,0,29.784028688427
157,157,788,"C","FREULER","Atalanta",35,6.16,6.33,5.83026315789474,"FREULER",788,"C","Atalanta",13,13,0,29.3271773897132
90,90,406,"A","CALLEJON","Napoli",33,6.15,6.71,5.8271052631579,"CALLEJON",406,"W","Napoli",20,19,1,29.2972199275025
236,236,2214,"D","KOLAROV","Roma",33,6.06,6.7,5.81842105263158,"KOLAROV",2214,"Ds;E","Roma",16,15,1,29.2148369064229
136,136,627,"C","IONITA","Cagliari",37,5.76,5.97,5.81289473684211,"IONITA",627,"C;T","Cagliari",8,8,0,29.1624113475542
85,85,392,"D","KOULIBALY","Napoli",35,6.27,6.31,5.81184210526316,"KOULIBALY",392,"Dc","Napoli",15,16,-1,29.1524255268172
231,231,2194,"C","CALHANOGLU","Milan",35,5.91,6.27,5.775,"CALHANOGLU",2194,"T","Milan",12,12,0,28.8029218010252
201,201,2061,"A","SIMEONE","Fiorentina",35,5.66,6.23,5.73815789473684,"SIMEONE",2061,"Pc","Cagliari",13,13,0,28.4534180752332
194,194,2006,"D","LIROLA","Sassuolo",35,5.99,6.21,5.71973684210526,"LIROLA",2006,"Dd;E","Fiorentina",11,11,0,28.2786662123372
73,73,338,"C","LULIC","Lazio",35,5.9,6.2,5.71052631578947,"LULIC",338,"E;C","Lazio",13,13,0,28.1912902808892
125,125,556,"C","BASELLI","Torino",34,6.07,6.38,5.70842105263158,"BASELLI",556,"C;T","Torino",10,10,0,28.1713186394155
46,46,252,"D","BIRAGHI","Fiorentina",36,5.89,6,5.68421052631579,"BIRAGHI",252,"Ds;E","Inter",10,10,0,27.9416447624664
296,296,2801,"D","IACOPONI","Parma",38,5.71,5.66,5.66,"IACOPONI",2801,"Dd;Dc","Parma",5,4,1,27.7119708855174
153,153,779,"C","CRISTANTE","Roma",35,5.87,6.13,5.64605263157895,"CRISTANTE",779,"C","Roma",9,9,0,27.5796587607533
23,23,148,"C","KRUNIC","Empoli",33,6,6.5,5.64473684210526,"KRUNIC",148,"C;T","Milan",13,13,0,27.5671764848321
275,275,2759,"D","CRISCITO","Genoa",35,6.01,6.1,5.61842105263158,"CRISCITO",2759,"Ds;Dc;E","Genoa",16,15,1,27.3175309664093
171,171,1870,"C","BARELLA","Cagliari",35,6.13,6.07,5.59078947368421,"BARELLA",1870,"M;C","Inter",18,18,0,27.0554031720653
199,199,2016,"D","FAZIO","Roma",34,5.85,6.21,5.55631578947368,"FAZIO",2016,"Dc","Roma",8,9,-1,26.7283675429314
291,291,2789,"C","MEITE'","Torino",34,6.06,6.19,5.53842105263158,"MEITE",2789,"M;C","Torino",10,10,0,26.5586085904039
