,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
52,52,265,"C","BROZOVIC","Inter",32,5.91,5.94,5.0021052631579,"BROZOVIC",265,"C","Inter",12,11,1,19.3356214241046
64,64,312,"A","MANDZUKIC","Juventus",25,6.36,7.6,5,"MANDZUKIC",312,"Pc","Juventus",21,21,0,19.3156497826307
258,258,2391,"C","EKDAL","Sampdoria",32,6.02,5.92,4.98526315789474,"EKDAL",2391,"M;C","Sampdoria",8,8,0,19.1758482923139
297,297,2802,"C","BARILLA'","Parma",31,5.89,6.08,4.96,"BARILLA",2802,"C","Parma",7,7,0,18.936188594628
54,54,280,"A","PALACIO","Bologna",28,6.3,6.73,4.95894736842105,"PALACIO",280,"A","Bologna",13,13,0,18.926202773891
51,51,264,"C","BESSA","Genoa",32,5.84,5.88,4.95157894736842,"BESSA",264,"C;T","Verona",8,8,0,18.8563020287327
283,283,2775,"C","RUIZ","Napoli",27,6.3,6.89,4.89552631578947,"RUIZ",2775,"C;T","Napoli",17,17,0,18.324557074492
351,351,,,,,,,,4.89023547158876,"RAMSEY",2472,"T","Juventus",17,17,0,18.2743653238435
352,352,,,,,,,,4.89023547158876,"DONNARUMMAAL",4452,"Pc","Brescia",17,16,1,18.2743653238435
353,353,,,,,,,,4.89023547158876,"LAZZARIM",2263,"E","Lazio",17,17,0,18.2743653238435
215,215,2160,"D","GOSENS","Atalanta",28,6.18,6.54,4.81894736842105,"GOSENS",2160,"E","Atalanta",15,14,1,17.5980886158815
100,100,464,"D","FLORENZI","Roma",29,6.03,6.31,4.81552631578947,"FLORENZI",464,"Dd;E","Roma",10,10,0,17.5656346984865
55,55,286,"D","BONUCCI","Juventus",29,6.02,6.29,4.80026315789474,"BONUCCI",286,"Dc","Juventus",11,11,0,17.4208402978014
77,77,374,"C","POLI","Bologna",28,6.11,6.48,4.77473684210526,"POLI",374,"M;C","Bologna",10,10,0,17.1786841449311
