"","Name","VarianceFantasyEvaluation","PlayedMatches","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price","MantraRole","MeanFantasyEvaluation"
"55","BELEC",2.380952381,15,"Sampdoria","P",4,1.4473684211,1,1,NA,"",NA,"Por",3.66666666666667
"56","BELOTTI",8.8054435484,32,"Torino","A",5.75,5.7105263158,29,29,NA,"",NA,"Pc",6.85135135135135
"57","BENASSI",2.9525210084,35,"Fiorentina","C",5.5,5.8421052632,15,12,NA,"",NA,"C",6.58974358974359
"58","BENATIA",1.6026315789,20,"Juventus","D",6.5,3.4473684211,9,10,NA,"",NA,"Dc",6.54761904761905
"59","BENNACER",NA,21,NA,"C",NA,3.3717878602,6,6,NA,"",NA,"C",6.1
"60","BENTANCUR",0.0947368421,20,"Juventus","C",6,3.1052631579,7,8,NA,"",NA,"C",5.8695652173913
"61","BERARDI",2.8978494624,31,"Sassuolo","A",5.5,4.6973684211,18,16,NA,"VE",14,"A",6
"62","BERENGUER",1.3187229437,22,"Torino","C",6,3.5657894737,5,5,NA,"",NA,"W",6.11538461538461
"63","BERESZYNSKI",0.3139784946,31,"Sampdoria","D",5.5,4.7105263158,7,7,NA,"",NA,"Dd",5.85714285714286
"64","BERESZYNSKI",0.3139784946,31,"Sampdoria","D",5.5,4.7105263158,7,7,NA,"",NA,"E",5.85714285714286
"65","BERISHA E",1.1994623656,31,"Atalanta","P",5,4.1842105263,11,12,NA,"",NA,"Por",4.75
"66","BERNARDESCHI",2.9875541126,22,"Juventus","C",6,4.0657894737,17,16,NA,"BRYAN",12,"W",7.17307692307692
"67","BERNARDESCHI",2.9875541126,22,"Juventus","C",6,4.0657894737,17,16,NA,"BRYAN",12,"A",7.17307692307692
"68","BERTOLACCI",0.8925189394,33,"Genoa","C",6,5.1447368421,7,8,NA,"ME",2,"C",5.92424242424242
"69","BESSA",2.6570767196,28,"Genoa","C",6,4.5921052632,6,7,NA,"",NA,"C",6.171875
"70","BESSA",2.6570767196,28,"Genoa","C",6,4.5921052632,6,7,NA,"",NA,"T",6.171875
"71","BIABIANY",NA,10,NA,"C",NA,1.5935300604,4,5,NA,"",NA,"W",6
"72","BIGLIA",1.0459656085,28,"Milan","C",6,4.4078947368,8,8,NA,"",NA,"M",5.9375
"73","BIGLIA",1.0459656085,28,"Milan","C",6,4.4078947368,8,8,NA,"",NA,"C",5.9375
"74","BIRAGHI",1.0875668449,34,"Fiorentina","D",6,5.2763157895,7,6,NA,"GATTI",2,"E",5.94736842105263
"75","BIRAGHI",1.0875668449,34,"Fiorentina","D",6,5.2763157895,7,6,NA,"GATTI",2,"Ds",5.94736842105263
"76","BIRASCHI",0.4160079051,23,"Genoa","D",6,3.5921052632,6,6,NA,"",NA,"Dd",5.87037037037037
"77","BIRASCHI",0.4160079051,23,"Genoa","D",6,3.5921052632,6,6,NA,"",NA,"Dc",5.87037037037037
"78","BIRSA",1.5764705882,35,"Chievo","C",6,5.8026315789,12,12,NA,"",NA,"T",6.35897435897436
"79","BOATENG",NA,38,NA,"C",NA,6.5570139553,22,20,NA,"ME",25,"A",8.5
"80","BOATENG",NA,38,NA,"C",NA,6.5570139553,22,20,NA,"ME",25,"T",8.5
"81","BOGA",NA,31,NA,"C",NA,4.4001562034,8,8,NA,"",NA,"A",5.83333333333333
"82","BOGA",NA,31,NA,"C",NA,4.4001562034,8,8,NA,"",NA,"T",5.83333333333333
"83","BONAVENTURA",4.9947916667,33,"Milan","C",6,5.9342105263,21,20,NA,"VE",23,"W",6.93243243243243
"84","BONAVENTURA",4.9947916667,33,"Milan","C",6,5.9342105263,21,20,NA,"VE",23,"C",6.93243243243243
"85","BONAVENTURA",4.9947916667,33,"Milan","C",6,5.9342105263,21,20,NA,"VE",23,"T",6.93243243243243
"86","BONIFAZI",0.4,6,"Torino","D",6.25,0.9473684211,2,3,NA,"",NA,"Dc",6
"87","BONUCCI",1.4117647059,35,"Milan","D",6,5.5263157895,12,12,NA,"VE",23,"Dc",5.97435897435897
"88","BORINI",1.4174876847,29,"Milan","C",6,4.6578947368,6,6,NA,"",NA,"W",6.15
"89","BORJA VALERO",0.9974206349,36,"Inter","C",6,5.7763157895,5,6,NA,"ME",6,"C",6.09459459459459
"90","BOURABIA",NA,10,NA,"C",NA,1.5935300604,6,5,NA,"",NA,"C",6
"91","BRADARIC",NA,30,NA,"C",NA,4.7231839663,9,9,NA,"",NA,"C",5.875
"92","BRADARIC",NA,30,NA,"C",NA,4.7231839663,9,9,NA,"",NA,"M",5.875
"93","BREMER",NA,1,NA,"D",NA,0,3,4,NA,"VE",3,"Dc",6
"94","BRIGHENTI",NA,1,NA,"D",NA,0,3,2,NA,"",NA,"Dc",5.5
"95","BRIGHENTI",NA,1,NA,"D",NA,0,3,2,NA,"",NA,"Dd",5.5
"96","BRIGHENTI",NA,1,NA,"D",NA,0,3,2,NA,"",NA,"Ds",5.5
"97","BRIGNOLA",2.3897058824,18,"Benevento","A",6.5,3.1973684211,8,9,NA,"",NA,"A",6.71052631578947
"98","BROZOVIC",3.1478494624,31,"Inter","C",6,5.5,15,16,NA,"",NA,"T",6.70833333333333
"99","BROZOVIC",3.1478494624,31,"Inter","C",6,5.5,15,16,NA,"",NA,"C",6.70833333333333
"100","BRUNO ALVES",NA,10,NA,"D",NA,1.5935300604,6,5,NA,"",NA,"Dc",6.3
"101","CACCIATORE",1.0771780303,33,"Chievo","D",6,5.2368421053,7,7,NA,"",NA,"Ds",6.01428571428571
"102","CACCIATORE",1.0771780303,33,"Chievo","D",6,5.2368421053,7,7,NA,"",NA,"Dd",6.01428571428571
"103","CACCIATORE",1.0771780303,33,"Chievo","D",6,5.2368421053,7,7,NA,"",NA,"E",6.01428571428571
"104","CACERES",2.8947368421,20,"Lazio","D",6,3.4210526316,5,5,NA,"",NA,"Dc",6.41304347826087
"105","CACERES",2.8947368421,20,"Lazio","D",6,3.4210526316,5,5,NA,"",NA,"Dd",6.41304347826087
"106","CAICEDO",2.5649350649,22,"Lazio","A",6,3.6315789474,5,6,NA,"",NA,"Pc",6.41666666666667
"107","CALABRIA",1.7654761905,21,"Milan","D",6,3.4605263158,7,6,NA,"ME",9,"E",6.32
