,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices",
337,337,,,,,,,,10.9142312757351,"CRISTIANORONALDO",2610,"Pc","Juventus",45,46,-1,99.1702745533213,
338,338,,,,,,,,8.97794691011663,"LUKAKUR",2531,"Pc","Inter",36,35,1,75.017629460234,150
339,339,,,,,,,,8.76280420282569,"ZAPATAD",608,"Pc","Atalanta",35,36,-1,72.3340022276688,111
127,127,568,"A","QUAGLIARELLA","Sampdoria",37,6.43,8.64,8.41263157894737,"QUAGLIARELLA",568,"Pc","Sampdoria",33,34,-1,67.9660512923491,
273,273,2756,"A","PIATEK","Milan",37,6.35,8.07,7.85763157894737,"PIATEK",2756,"Pc","Milan",37,38,-1,61.0431435497243,
94,94,410,"A","MERTENS","Napoli",35,6.31,7.96,7.33157894736842,"MERTENS",410,"Pc","Napoli",28,27,1,54.4813168178576,
301,301,2819,"A","CAPUTO","Empoli",38,6.08,7.14,7.14,"CAPUTO",2819,"Pc","Sassuolo",27,26,1,52.0916170375679,
97,97,441,"A","BELOTTI","Torino",37,6.19,7.28,7.08842105263158,"BELOTTI",441,"Pc","Torino",31,30,1,51.44823632749,
340,340,,,,,,,,7.04166254449816,"GOMEZA",26,"T;A","Atalanta",27,27,0,50.8649843671469,
198,198,2012,"A","MILIK","Napoli",35,6.07,7.53,6.93552631578947,"MILIK",2012,"Pc","Napoli",28,28,0,49.5410720797588,
81,81,383,"A","PETAGNA","SPAL",36,6.1,7.32,6.93473684210526,"PETAGNA",383,"Pc","SPAL",26,25,1,49.531224415829,
155,155,785,"A","IMMOBILE","Lazio",35,6.04,7.41,6.825,"IMMOBILE",785,"Pc","Lazio",36,34,2,48.1623991295917,161
341,341,,,,,,,,6.61137712991628,"MARTINEZL",2764,"Pc","Inter",25,26,-1,45.4977299020164,
192,192,2002,"C","CHIESA","Fiorentina",37,6.24,6.73,6.55289473684211,"CHIESA",2002,"W;A","Fiorentina",27,27,0,44.7682376284661,55
277,277,2762,"A","KOUAME'","Genoa",38,6.07,6.46,6.46,"KOUAME",2762,"A","Genoa",18,17,1,43.609495839397,
342,342,,,,,,,,6.39623442262534,"SANCHEZA",2475,"A","Inter",24,24,0,42.8141026694512,
142,142,643,"A","DEFREL","Sampdoria",35,5.97,6.94,6.39210526315789,"DEFREL",643,"A","Sassuolo",15,15,0,42.7625967414372,
43,43,247,"A","PAVOLETTI","Cagliari",32,6.09,7.53,6.34105263157895,"PAVOLETTI",247,"Pc","Cagliari",25,26,-1,42.1257811406458,
35,35,226,"D","IZZO","Torino",37,6.23,6.5,6.32894736842105,"IZZO",226,"Dd;Dc","Torino",16,16,0,41.974783627056,
78,78,375,"A","SUSO","Milan",35,6.16,6.87,6.32763157894737,"SUSO",375,"W;A","Milan",20,20,0,41.9583708538398,30
25,25,152,"C","ZIELINSKI","Napoli",36,6.15,6.62,6.27157894736842,"ZIELINSKI",152,"C;T","Napoli",16,17,-1,41.2591867148264,
119,119,531,"A","BERARDI","Sassuolo",35,6.1,6.77,6.23552631578947,"BERARDI",531,"A","Sassuolo",18,18,0,40.8094767287005,
343,343,,,,,,,,6.1810917153344,"MILINKOVICSAVIC",645,"C;T","Lazio",23,23,0,40.1304754368859,
122,122,536,"A","POLITANO","Inter",36,6.04,6.51,6.16736842105263,"POLITANO",536,"W;A","Inter",14,14,0,39.9592950760975,
30,30,177,"C","ILICIC","Atalanta",31,6.39,7.55,6.15921052631579,"ILICIC",177,"A","Atalanta",26,26,0,39.8575358821566,
113,113,513,"D","ACERBI","Lazio",37,6.14,6.31,6.14394736842105,"ACERBI",513,"Dc","Lazio",14,14,0,39.6671477128478,28
109,109,495,"C","CORREA","Lazio",34,6.26,6.78,6.06631578947368,"CORREA",495,"A","Lazio",21,20,1,38.6987940930875,
248,248,2288,"D","N'KOULOU","Torino",36,6.25,6.31,5.97789473684211,"NKOULOU",2288,"Dc","Torino",15,15,0,37.5958557329539,5
344,344,,,,,,,,5.96594900804346,"DEPAUL",1996,"T;A","Udinese",22,22,0,37.4468482043207,
345,345,,,,,,,,5.96594900804346,"RAFAELLEAO",4510,"Pc","Milan",22,22,0,37.4468482043207,
346,346,,,,,,,,5.96594900804346,"IAGOFALQUE",475,"A","Torino",22,22,0,37.4468482043207,
347,347,,,,,,,,5.96594900804346,"LOZANO",4517,"A","Napoli",22,22,0,37.4468482043207,
