,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
337,337,,,,,,,,10.9142312757351,"CRISTIANORONALDO",2610,"Pc","Juventus",45,46,-1,70.7147863884365
338,338,,,,,,,,8.97794691011663,"LUKAKUR",2531,"Pc","Inter",36,35,1,52.3461672462196
339,339,,,,,,,,8.76280420282569,"ZAPATAD",608,"Pc","Atalanta",35,36,-1,50.3052095637511
127,127,568,"A","QUAGLIARELLA","Sampdoria",37,6.43,8.64,8.41263157894737,"QUAGLIARELLA",568,"Pc","Sampdoria",33,34,-1,46.9832865671787
273,273,2756,"A","PIATEK","Milan",37,6.35,8.07,7.85763157894737,"PIATEK",2756,"Pc","Milan",37,38,-1,41.718262583641
94,94,410,"A","MERTENS","Napoli",35,6.31,7.96,7.33157894736842,"MERTENS",410,"Pc","Napoli",28,27,1,36.7278486703684
301,301,2819,"A","CAPUTO","Empoli",38,6.08,7.14,7.14,"CAPUTO",2819,"Pc","Sassuolo",27,26,1,34.9104292962501
97,97,441,"A","BELOTTI","Torino",37,6.19,7.28,7.08842105263158,"BELOTTI",441,"Pc","Torino",31,30,1,34.4211240801413
340,340,,,,,,,,7.04166254449816,"GOMEZA",26,"T;A","Atalanta",27,27,0,35.4891339898672
198,198,2012,"A","MILIK","Napoli",35,6.07,7.53,6.93552631578947,"MILIK",2012,"Pc","Napoli",28,28,0,32.9706836181046
81,81,383,"A","PETAGNA","SPAL",36,6.1,7.32,6.93473684210526,"PETAGNA",383,"Pc","SPAL",26,25,1,32.9631942525519
155,155,785,"A","IMMOBILE","Lazio",35,6.04,7.41,6.825,"IMMOBILE",785,"Pc","Lazio",36,34,2,31.9221724407287
341,341,,,,,,,,6.61137712991628,"MARTINEZL",2764,"Pc","Inter",25,26,-1,29.8956327390657
192,192,2002,"C","CHIESA","Fiorentina",37,6.24,6.73,6.55289473684211,"CHIESA",2002,"W;A","Fiorentina",27,27,0,22.8600401219796
277,277,2762,"A","KOUAME'","Genoa",38,6.07,6.46,6.46,"KOUAME",2762,"A","Genoa",18,17,1,37.3421523280403
342,342,,,,,,,,6.39623442262534,"SANCHEZA",2475,"A","Inter",24,24,0,36.7372382844337
142,142,643,"A","DEFREL","Sampdoria",35,5.97,6.94,6.39210526315789,"DEFREL",643,"A","Sassuolo",15,15,0,36.6980668905094
43,43,247,"A","PAVOLETTI","Cagliari",32,6.09,7.53,6.34105263157895,"PAVOLETTI",247,"Pc","Cagliari",25,26,-1,27.3311913569327
35,35,226,"D","IZZO","Torino",37,6.23,6.5,6.32894736842105,"IZZO",226,"Dd;Dc","Torino",16,16,0,35.8466878315116
78,78,375,"A","SUSO","Milan",35,6.16,6.87,6.32763157894737,"SUSO",375,"W;A","Milan",20,20,0,20.7230744842801
25,25,152,"C","ZIELINSKI","Napoli",36,6.15,6.62,6.27157894736842,"ZIELINSKI",152,"C;T","Napoli",16,17,-1,29.4318173687272
119,119,531,"A","BERARDI","Sassuolo",35,6.1,6.77,6.23552631578947,"BERARDI",531,"A","Sassuolo",18,18,0,35.2126760558934
343,343,,,,,,,,6.1810917153344,"MILINKOVICSAVIC",645,"C;T","Lazio",23,23,0,28.5734075545595
122,122,536,"A","POLITANO","Inter",36,6.04,6.51,6.16736842105263,"POLITANO",536,"W;A","Inter",14,14,0,19.2027332770849
30,30,177,"C","ILICIC","Atalanta",31,6.39,7.55,6.15921052631579,"ILICIC",177,"A","Atalanta",26,26,0,34.4887040524673
113,113,513,"D","ACERBI","Lazio",37,6.14,6.31,6.14394736842105,"ACERBI",513,"Dc","Lazio",14,14,0,30.8287250700366
109,109,495,"C","CORREA","Lazio",34,6.26,6.78,6.06631578947368,"CORREA",495,"A","Lazio",21,20,1,33.6074553724346
248,248,2288,"D","N'KOULOU","Torino",36,6.25,6.31,5.97789473684211,"NKOULOU",2288,"Dc","Torino",15,15,0,29.2534618487886
344,344,,,,,,,,5.96594900804346,"DEPAUL",1996,"T;A","Udinese",22,22,0,25.2843455775245
345,345,,,,,,,,5.96594900804346,"RAFAELLEAO",4510,"Pc","Milan",22,22,0,23.7727596916601
346,346,,,,,,,,5.96594900804346,"IAGOFALQUE",475,"A","Torino",22,22,0,32.6553229194966
347,347,,,,,,,,5.96594900804346,"LOZANO",4517,"A","Napoli",22,22,0,32.6553229194966
144,144,647,"A","DZEKO","Roma",33,6,6.83,5.93131578947368,"DZEKO",647,"Pc","Roma",31,30,1,23.444210635089
165,165,1850,"C","KESSIE'","Milan",34,6.06,6.62,5.92315789473684,"KESSIE",1850,"C","Milan",12,12,0,32.2493837522144
219,219,2167,"A","ORSOLINI","Bologna",32,6.19,7.03,5.92,"ORSOLINI",2167,"W;A","Bologna",17,17,0,16.8560654039103
211,211,2130,"D","HATEBOER","Atalanta",34,6.06,6.57,5.87842105263158,"HATEBOER",2130,"E","Atalanta",15,15,0,19.0679246971366
157,157,788,"C","FREULER","Atalanta",35,6.16,6.33,5.83026315789474,"FREULER",788,"C","Atalanta",13,13,0,31.3681350721818
90,90,406,"A","CALLEJON","Napoli",33,6.15,6.71,5.8271052631579,"CALLEJON",406,"W","Napoli",20,19,1,19.5282918117172
236,236,2214,"D","KOLAROV","Roma",33,6.06,6.7,5.81842105263158,"KOLAROV",2214,"Ds;E","Roma",16,15,1,33.29675227136
136,136,627,"C","IONITA","Cagliari",37,5.76,5.97,5.81289473684211,"IONITA",627,"C;T","Cagliari",8,8,0,25.0804959826171
85,85,392,"D","KOULIBALY","Napoli",35,6.27,6.31,5.81184210526316,"KOULIBALY",392,"Dc","Napoli",15,16,-1,27.6781986275404
231,231,2194,"C","CALHANOGLU","Milan",35,5.91,6.27,5.775,"CALHANOGLU",2194,"T","Milan",12,12,0,26.7619641185567
201,201,2061,"A","SIMEONE","Fiorentina",35,5.66,6.23,5.73815789473684,"SIMEONE",2061,"Pc","Cagliari",13,13,0,21.6118125298653
194,194,2006,"D","LIROLA","Sassuolo",35,5.99,6.21,5.71973684210526,"LIROLA",2006,"Dd;E","Fiorentina",11,11,0,31.3401027360401
73,73,338,"C","LULIC","Lazio",35,5.9,6.2,5.71052631578947,"LULIC",338,"E;C","Lazio",13,13,0,9.68125320443775
125,125,556,"C","BASELLI","Torino",34,6.07,6.38,5.70842105263158,"BASELLI",556,"C;T","Torino",10,10,0,24.0894032744784
46,46,252,"D","BIRAGHI","Fiorentina",36,5.89,6,5.68421052631579,"BIRAGHI",252,"Ds;E","Inter",10,10,0,32.0235601274035
296,296,2801,"D","IACOPONI","Parma",38,5.71,5.66,5.66,"IACOPONI",2801,"Dd;Dc","Parma",5,4,1,29.500698753203
153,153,779,"C","CRISTANTE","Roma",35,5.87,6.13,5.64605263157895,"CRISTANTE",779,"C","Roma",9,9,0,29.6206164432219
23,23,148,"C","KRUNIC","Empoli",33,6,6.5,5.64473684210526,"KRUNIC",148,"C;T","Milan",13,13,0,23.4852611198951
275,275,2759,"D","CRISCITO","Genoa",35,6.01,6.1,5.61842105263158,"CRISCITO",2759,"Ds;Dc;E","Genoa",16,15,1,24.4028494258327
171,171,1870,"C","BARELLA","Cagliari",35,6.13,6.07,5.59078947368421,"BARELLA",1870,"M;C","Inter",18,18,0,24.7922787063864
199,199,2016,"D","FAZIO","Roma",34,5.85,6.21,5.55631578947368,"FAZIO",2016,"Dc","Roma",8,9,-1,25.2541406436546
291,291,2789,"C","MEITE'","Torino",34,6.06,6.19,5.53842105263158,"MEITE",2789,"M;C","Torino",10,10,0,24.295484124725
348,348,,,,,,,,5.53566359346158,"LUISALBERTO",2085,"T","Lazio",20,19,1,24.4914921896224
104,104,474,"A","GERVINHO","Parma",29,6.09,7.24,5.52526315789474,"GERVINHO",474,"A","Parma",19,19,0,28.474743513661
159,159,798,"D","SKRINIAR","Inter",35,6.1,5.99,5.51710526315789,"SKRINIAR",798,"Dc","Inter",15,15,0,24.8821688212045
74,74,342,"C","PAROLO","Lazio",32,6.17,6.55,5.51578947368421,"PAROLO",342,"M;C","Lazio",15,15,0,24.0807889788813
175,175,1879,"A","FARIAS","Empoli",31,6.02,6.76,5.51473684210526,"FARIAS",1879,"A","Lecce",10,11,-1,28.3748853062918
139,139,633,"C","FARES","SPAL",35,5.86,5.97,5.49868421052632,"FARES",633,"E","SPAL",7,7,0,15.465539866295
38,38,236,"C","LAZOVIC","Genoa",33,5.95,6.32,5.48842105263158,"LAZOVIC",236,"E;W","Verona",8,8,0,28.2199294025179
11,11,90,"A","LASAGNA","Udinese",34,5.69,6.13,5.48473684210526,"LASAGNA",90,"Pc","Udinese",16,16,0,19.2077261874534
237,237,2215,"C","VERETOUT","Fiorentina",33,6.06,6.27,5.445,"VERETOUT",2215,"C","Roma",14,14,0,27.7133246824713
126,126,557,"C","BENASSI","Fiorentina",32,5.89,6.44,5.42315789473684,"BENASSI",557,"C","Fiorentina",14,14,0,27.5061189021804
217,217,2164,"D","MILENKOVIC","Fiorentina",34,5.93,6.06,5.4221052631579,"MILENKOVIC",2164,"Dd;Dc","Fiorentina",11,10,1,27.2439032666606
300,300,2818,"C","BENNACER","Empoli",35,5.9,5.86,5.39736842105263,"BENNACER",2818,"M;C","Milan",12,12,0,22.9573841459785
53,53,277,"A","ICARDI","Inter",29,5.88,7.05,5.38026315789474,"ICARDI",277,"Pc","Inter",31,31,0,18.2166334793148
88,88,397,"C","ALLAN","Napoli",33,6.18,6.18,5.36684210526316,"ALLAN",397,"M;C","Napoli",15,16,-1,22.6677953446081
40,40,238,"C","RINCON","Torino",33,6.12,6.17,5.35815789473684,"RINCON",238,"M","Torino",10,10,0,24.8485367892074
5,5,28,"C","KURTIC","SPAL",30,6.13,6.75,5.32894736842105,"KURTIC",28,"C;T","SPAL",16,16,0,20.489514898821
349,349,,,,,,,,5.32052088617064,"RIBERY",2409,"W;A","Fiorentina",19,19,0,11.1690889859976
350,350,,,,,,,,5.32052088617064,"BALOTELLI",696,"Pc","Brescia",19,19,0,17.6498866442545
45,45,250,"P","HANDANOVIC","Inter",38,6.18,5.32,5.32,"HANDANOVIC",250,"Por","Inter",18,18,0,36.7322968823055
303,303,2826,"A","PUSSETTO","Udinese",32,5.92,6.27,5.28,"PUSSETTO",2826,"W;A","Udinese",12,12,0,10.7846863958668
179,179,1933,"C","MANDRAGORA","Udinese",34,5.75,5.9,5.27894736842105,"MANDRAGORA",1933,"M;C","Udinese",9,9,0,21.8339793130757
268,268,2743,"A","SANTANDER","Bologna",29,6.03,6.9,5.26578947368421,"SANTANDER",2743,"Pc","Bologna",11,11,0,17.1306754741754
206,206,2077,"C","PASALIC","Atalanta",31,5.89,6.45,5.26184210526316,"PASALIC",2077,"C;T","Atalanta",9,9,0,19.8529188268428
225,225,2179,"P","SIRIGU","Torino",36,6.35,5.53,5.23894736842105,"SIRIGU",2179,"Por","Torino",14,14,0,35.9633886855632
169,169,1868,"D","MURRU","Sampdoria",34,5.82,5.84,5.22526315789474,"MURRU",1868,"Ds;E","Sampdoria",8,8,0,27.6697422861092
93,93,409,"A","INSIGNE","Napoli",28,6.07,7.07,5.20947368421053,"INSIGNE",409,"A","Napoli",29,27,2,25.478997292587
196,196,2008,"C","LINETTY","Sampdoria",32,5.97,6.17,5.19578947368421,"LINETTY",2008,"C","Sampdoria",11,11,0,25.349181623007
224,224,2178,"P","CRAGNO","Cagliari",38,6.45,5.17,5.17,"CRAGNO",2178,"Por","Cagliari",11,11,0,35.3093174272953
118,118,529,"C","MISSIROLI","SPAL",34,5.87,5.74,5.13578947368421,"MISSIROLI",529,"M;C","SPAL",7,7,0,20.4759076928555
