,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
125,125,556,"C","BASELLI","Torino",34,6.07,6.38,5.70842105263158,"BASELLI",556,"C;T","Torino",10,10,0,22.4236001798717
46,46,252,"D","BIRAGHI","Fiorentina",36,5.89,6,5.68421052631579,"BIRAGHI",252,"Ds;E","Inter",10,10,0,28.3573467906743
296,296,2801,"D","IACOPONI","Parma",38,5.71,5.66,5.66,"IACOPONI",2801,"Dd;Dc","Parma",5,4,1,23.7696328464514
153,153,779,"C","CRISTANTE","Roma",35,5.87,6.13,5.64605263157895,"CRISTANTE",779,"C","Roma",9,9,0,23.7009787064662
23,23,148,"C","KRUNIC","Empoli",33,6,6.5,5.64473684210526,"KRUNIC",148,"C;T","Milan",13,13,0,21.8447919046506
275,275,2759,"D","CRISCITO","Genoa",35,6.01,6.1,5.61842105263158,"CRISCITO",2759,"Ds;Dc;E","Genoa",16,15,1,23.3795491334118
171,171,1870,"C","BARELLA","Cagliari",35,6.13,6.07,5.59078947368421,"BARELLA",1870,"M;C","Inter",18,18,0,22.6036044024126
199,199,2016,"D","FAZIO","Roma",34,5.85,6.21,5.55631578947368,"FAZIO",2016,"Dc","Roma",8,9,-1,24.7456116199227
291,291,2789,"C","MEITE'","Torino",34,6.06,6.19,5.53842105263158,"MEITE",2789,"M;C","Torino",10,10,0,22.1276422256813
348,348,,,,,,,,5.53566359346158,"LUISALBERTO",2085,"T","Lazio",20,19,1,22.3085143736648
104,104,474,"A","GERVINHO","Parma",29,6.09,7.24,5.52526315789474,"GERVINHO",474,"A","Parma",19,19,0,22.5881919438267
159,159,798,"D","SKRINIAR","Inter",35,6.1,5.99,5.51710526315789,"SKRINIAR",798,"Dc","Inter",15,15,0,24.3892379298073
74,74,342,"C","PAROLO","Lazio",32,6.17,6.55,5.51578947368421,"PAROLO",342,"M;C","Lazio",15,15,0,21.9219500287019
175,175,1879,"A","FARIAS","Empoli",31,6.02,6.76,5.51473684210526,"FARIAS",1879,"A","Lecce",10,11,-1,22.4925211545339
139,139,633,"C","FARES","SPAL",35,5.86,5.97,5.49868421052632,"FARES",633,"E","SPAL",7,7,0,16.0395883871995
38,38,236,"C","LAZOVIC","Genoa",33,5.95,6.32,5.48842105263158,"LAZOVIC",236,"E;W","Verona",8,8,0,24.4272925162711
11,11,90,"A","LASAGNA","Udinese",34,5.69,6.13,5.48473684210526,"LASAGNA",90,"Pc","Udinese",16,16,0,14.0433958402278
237,237,2215,"C","VERETOUT","Fiorentina",33,6.06,6.27,5.445,"VERETOUT",2215,"C","Roma",14,14,0,21.873666630975
126,126,557,"C","BENASSI","Fiorentina",32,5.89,6.44,5.42315789473684,"BENASSI",557,"C","Fiorentina",14,14,0,21.6751497431925
217,217,2164,"D","MILENKOVIC","Fiorentina",34,5.93,6.06,5.4221052631579,"MILENKOVIC",2164,"Dd;Dc","Fiorentina",11,10,1,21.6074730084357
300,300,2818,"C","BENNACER","Empoli",35,5.9,5.86,5.39736842105263,"BENNACER",2818,"M;C","Milan",12,12,0,20.8456536491586
53,53,277,"A","ICARDI","Inter",29,5.88,7.05,5.38026315789474,"ICARDI",277,"Pc","Inter",31,31,0,13.0938632564975
88,88,397,"C","ALLAN","Napoli",33,6.18,6.18,5.36684210526316,"ALLAN",397,"M;C","Napoli",15,16,-1,20.5682083602097
40,40,238,"C","RINCON","Torino",33,6.12,6.17,5.35815789473684,"RINCON",238,"M","Torino",10,10,0,21.0512478830724
5,5,28,"C","KURTIC","SPAL",30,6.13,6.75,5.32894736842105,"KURTIC",28,"C;T","SPAL",16,16,0,18.9746682258686
349,349,,,,,,,,5.32052088617064,"RIBERY",2409,"W;A","Fiorentina",19,19,0,7.34121566763215
350,350,,,,,,,,5.32052088617064,"BALOTELLI",696,"Pc","Brescia",19,19,0,12.5508821789489
45,45,250,"P","HANDANOVIC","Inter",38,6.18,5.32,5.32,"HANDANOVIC",250,"Por","Inter",18,18,0,31.8339770394853
303,303,2826,"A","PUSSETTO","Udinese",32,5.92,6.27,5.28,"PUSSETTO",2826,"W;A","Udinese",12,12,0,6.97293247716748
179,179,1933,"C","MANDRAGORA","Udinese",34,5.75,5.9,5.27894736842105,"MANDRAGORA",1933,"M;C","Udinese",9,9,0,19.7693572696153
268,268,2743,"A","SANTANDER","Bologna",29,6.03,6.9,5.26578947368421,"SANTANDER",2743,"Pc","Bologna",11,11,0,12.053443422939
206,206,2077,"C","PASALIC","Atalanta",31,5.89,6.45,5.26184210526316,"PASALIC",2077,"C;T","Atalanta",9,9,0,18.3647669441275
225,225,2179,"P","SIRIGU","Torino",36,6.35,5.53,5.23894736842105,"SIRIGU",2179,"Por","Torino",14,14,0,31.0973119619312
169,169,1868,"D","MURRU","Sampdoria",34,5.82,5.84,5.22526315789474,"MURRU",1868,"Ds;E","Sampdoria",8,8,0,24.1861003775112
93,93,409,"A","INSIGNE","Napoli",28,6.07,7.07,5.20947368421053,"INSIGNE",409,"A","Napoli",29,27,2,19.7180682650447
196,196,2008,"C","LINETTY","Sampdoria",32,5.97,6.17,5.19578947368421,"LINETTY",2008,"C","Sampdoria",11,11,0,19.6086606944695
224,224,2178,"P","CRAGNO","Cagliari",38,6.45,5.17,5.17,"CRAGNO",2178,"Por","Cagliari",11,11,0,30.4706682920638
118,118,529,"C","MISSIROLI","SPAL",34,5.87,5.74,5.13578947368421,"MISSIROLI",529,"M;C","SPAL",7,7,0,18.4682345352342
251,251,2306,"C","MATUIDI","Juventus",30,6.22,6.5,5.13157894736842,"MATUIDI",2306,"M;C","Juventus",13,13,0,18.4299662195171
16,16,118,"C","RADOVANOVIC","Genoa",35,5.66,5.53,5.09342105263158,"RADOVANOVIC",118,"M","Genoa",7,6,1,18.6451275323602
101,101,467,"C","NAINGGOLAN","Inter",28,6.21,6.91,5.09157894736842,"NAINGGOLAN",467,"C;T","Cagliari",16,16,0,16.8172919273175
10,10,73,"D","GAGLIOLO","Parma",34,5.87,5.68,5.0821052631579,"GAGLIOLO",73,"Ds;Dc","Parma",8,8,0,22.7826401326893
207,207,2083,"D","BIRASCHI","Genoa",34,5.81,5.68,5.0821052631579,"BIRASCHI",2083,"Dd;Dc","Genoa",8,8,0,18.5173065142804
102,102,469,"C","PJANIC","Juventus",30,6.12,6.37,5.02894736842105,"PJANIC",469,"C","Juventus",15,15,0,18.0922786841797
188,188,1986,"C","FOFANA","Udinese",31,5.94,6.15,5.01710526315789,"FOFANA",1986,"M;C","Udinese",12,12,0,17.3895463859586
59,59,295,"D","ASAMOAH","Inter",32,6.02,5.95,5.01052631578947,"ASAMOAH",295,"Ds;E","Inter",11,10,1,22.2344162759393
52,52,265,"C","BROZOVIC","Inter",32,5.91,5.94,5.0021052631579,"BROZOVIC",265,"C","Inter",12,11,1,17.8483181714833
64,64,312,"A","MANDZUKIC","Juventus",25,6.36,7.6,5,"MANDZUKIC",312,"Pc","Juventus",21,21,0,9.63775599329747
258,258,2391,"C","EKDAL","Sampdoria",32,6.02,5.92,4.98526315789474,"EKDAL",2391,"M;C","Sampdoria",8,8,0,17.1001422483481
297,297,2802,"C","BARILLA'","Parma",31,5.89,6.08,4.96,"BARILLA",2802,"C","Parma",7,7,0,17.4656350143123
54,54,280,"A","PALACIO","Bologna",28,6.3,6.73,4.95894736842105,"PALACIO",280,"A","Bologna",13,13,0,17.4411034798775
51,51,264,"C","BESSA","Genoa",32,5.84,5.88,4.95157894736842,"BESSA",264,"C;T","Verona",8,8,0,15.5448704297241
283,283,2775,"C","RUIZ","Napoli",27,6.3,6.89,4.89552631578947,"RUIZ",2775,"C;T","Napoli",17,17,0,15.0354234767403
351,351,,,,,,,,4.89023547158876,"RAMSEY",2472,"T","Juventus",17,17,0,16.4423956777914
352,352,,,,,,,,4.89023547158876,"DONNARUMMAAL",4452,"Pc","Brescia",17,16,1,8.64013638169989
353,353,,,,,,,,4.89023547158876,"LAZZARIM",2263,"E","Lazio",17,17,0,10.5095651328587
215,215,2160,"D","GOSENS","Atalanta",28,6.18,6.54,4.81894736842105,"GOSENS",2160,"E","Atalanta",15,14,1,9.8616471686212
100,100,464,"D","FLORENZI","Roma",29,6.03,6.31,4.81552631578947,"FLORENZI",464,"Dd;E","Roma",10,10,0,19.7480264522006
55,55,286,"D","BONUCCI","Juventus",29,6.02,6.29,4.80026315789474,"BONUCCI",286,"Dc","Juventus",11,11,0,17.8740571789722
77,77,374,"C","POLI","Bologna",28,6.11,6.48,4.77473684210526,"POLI",374,"M;C","Bologna",10,10,0,15.1867264624934
213,213,2141,"C","DEPAOLI","Chievo",32,5.75,5.66,4.76631578947368,"DEPAOLI",2141,"Dd;E","Sampdoria",6,6,0,19.3007655122571
17,17,123,"A","INGLESE","Parma",25,6.14,7.24,4.76315789473684,"INGLESE",123,"Pc","Parma",23,23,0,7.48516323421094
143,143,644,"C","PULGAR","Bologna",28,5.96,6.46,4.76,"PULGAR",644,"M;C","Fiorentina",15,13,2,15.0527873574836
47,47,253,"D","D'AMBROSIO","Inter",29,5.95,6.19,4.72394736842105,"DAMBROSIO",253,"Dd;Ds;Dc","Inter",12,12,0,8.80974128582299
253,253,2318,"D","ROGERIO","Sassuolo",32,5.64,5.59,4.70736842105263,"ROGERIO",2318,"Ds;E","Sassuolo",7,7,0,19.4790975443086
302,302,2825,"C","BOURABIA","Sassuolo",31,5.82,5.77,4.70710526315789,"BOURABIA",2825,"C","Sassuolo",5,5,0,15.1671443015543
180,180,1934,"P","STRAKOSHA","Lazio",35,6.17,5.09,4.68815789473684,"STRAKOSHA",1934,"Por","Lazio",14,13,1,26.0913379121889
354,354,,,,,,,,4.67509276429782,"JOAOPEDRO",1874,"A","Cagliari",16,16,0,14.8612270478972
63,63,309,"A","DYBALA","Juventus",27,5.94,6.56,4.66105263157895,"DYBALA",309,"A","Juventus",25,25,0,14.7336201428932
220,220,2168,"D","MUSACCHIO","Milan",29,6.02,6.09,4.64763157894737,"MUSACCHIO",2168,"Dc","Milan",7,7,0,16.4868307342275
111,111,509,"P","CONSIGLI","Sassuolo",36,6.25,4.89,4.63263157894737,"CONSIGLI",509,"Por","Sassuolo",10,10,0,25.5866744986698
19,19,133,"P","SKORUPSKI","Bologna",38,6.11,4.62,4.62,"SKORUPSKI",133,"Por","Bologna",9,9,0,25.4718695515185
186,186,1978,"C","SENSI","Sassuolo",28,6.05,6.27,4.62,"SENSI",1978,"C","Inter",14,13,1,14.375468520157
32,32,183,"A","BABACAR","Sassuolo",26,5.87,6.75,4.61842105263158,"BABACAR",183,"Pc","Sassuolo",14,14,0,6.16968988143589
232,232,2197,"D","CASTAGNE","Atalanta",27,6.04,6.5,4.61842105263158,"CASTAGNE",2197,"E","Atalanta",13,13,0,8.03911863259466
278,278,2766,"C","ZANIOLO","Roma",27,6.13,6.5,4.61842105263158,"ZANIOLO",2766,"T","Roma",16,16,0,13.9719491775274
218,218,2166,"C","BENTANCUR","Juventus",29,5.91,6.03,4.60184210526316,"BENTANCUR",2166,"C","Juventus",7,7,0,14.2104364086271
315,315,2865,"D","AINA","Torino",29,5.91,6.02,4.59421052631579,"AINA",2865,"E","Torino",8,8,0,7.81907581722136
240,240,2261,"D","VICARI","SPAL",28,5.95,6.09,4.48736842105263,"VICARI",2261,"Dc","SPAL",7,7,0,15.0302429672456
226,226,2181,"D","PALOMINO","Atalanta",28,6.05,6.07,4.47263157894737,"PALOMINO",2181,"Dc","Atalanta",9,9,0,14.8963038622358
