"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","FantasyEvaluation","Delta"
"704","C","PERISIC","7","1","0","0","0","0","0","0","0","1","0","0","0","1","11","4.0263157895"
"181","C","VECINO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.6842105263000002"
"277","A","ICARDI","7.5","1","0","0","0","1","0","0","0","0","0","1","0","1","13.5","5.5789473684"
"662","D","ALEX SANDRO","6","0","0","0","0","0","0","0","0","1","0","0","0","1","7","2.4210526316000003"
"288","D","CHIELLINI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","2.2368421053"
"294","D","RUGANI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","2.7631578947"
"697","C","CUADRADO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2.0263157895"
"2200","C","DOUGLAS COSTA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.10526315789999963"
"299","C","KHEDIRA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.0131578947"
"469","C","PJANIC","6.5","0","0","0","0","0","0","0","0","1","0","0","0","1","7.5","1.7631578947"
"2306","C","MATUIDI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.6052631578999996"
"309","A","DYBALA","7.5","1","0","0","0","0","0","0","0","0","0","0","0","1","10.5","3.2368421053"
"408","A","HIGUAIN","7","1","0","0","0","0","0","0","0","0","0","0","0","1","10","3.0657894736999998"
"312","A","MANDZUKIC","7","1","0","0","0","0","0","0","0","0","0","1","0","1","10","4.6052631579"
"1934","P","STRAKOSHA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.9342105263000002"
"319","D","BASTA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","4.75"
"322","D","DE VRIJ","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.4210526316000003"
"1999","D","LUKAKU J","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.0526315788999998"
"329","D","RADU","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.1973684211000002"
"2007","D","WALLACE","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","4.0394736842"
"2085","C","LUIS ALBERTO","5","0","0","0","0","0","0","1","0","0","0","0","0","1","5","-1.7236842105"
"338","C","LULIC","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.14473684210000037"
"2188","C","MARUSIC","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.5789473683999997"
"645","C","MILINKOVIC-SAVIC","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-1.0"
"342","C","PAROLO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.13157894740000042"
"785","A","IMMOBILE","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-2.5526315789"
"2284","A","CAICEDO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2.3684210526"
"350","P","DONNARUMMA G","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.0131578947"
"353","D","ABATE","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3.3421052632"
"286","D","BONUCCI","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","0.4736842105000001"
"11","D","CONTI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","6.1710526316"
"2168","D","MUSACCHIO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","4.3026315789"
"2169","D","RODRIGUEZ R","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.3552631578999996"
"2194","C","CALHANOGLU","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.9078947368000003"
"1850","C","KESSIE'","7","0","0","0","0","1","0","0","0","0","0","1","0","1","10","3.8684210525999996"
"827","C","LOCATELLI M","6.5","0","0","0","0","0","0","1","0","0","0","0","0","1","6.5","3.2105263158"
"375","C","SUSO","7.5","1","0","0","0","0","0","0","0","1","0","0","0","1","11.5","5.1447368421"
"371","C","MAURI J","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5.8421052632"
"2187","A","BORINI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.8421052631999997"
"2155","A","CUTRONE","7.5","1","0","0","0","0","0","1","0","1","0","0","0","1","11.5","6.1447368421"
"387","P","REINA","6.5","0","1","0","0","0","0","0","0","0","0","0","0","1","5.5","0.3421052631999997"
"640","D","CHIRICHES","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","4.9342105263"
"390","D","GHOULAM","7","1","0","0","0","0","0","0","0","0","0","0","0","1","10","7.8684210526000005"
"140","D","HYSAJ","5","0","0","0","0","0","0","0","1","0","0","0","0","1","5","-0.5"
"392","D","KOULIBALY","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.1973684211000002"
"397","C","ALLAN","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.75"
"58","C","DIAWARA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.5131578947"
"702","C","GIACCHERINI","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","3.0263157895"
"402","C","HAMSIK","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.6052631578999996"
"152","C","ZIELINSKI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.14473684210000037"
"406","A","CALLEJON","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","-0.6184210525999996"
"409","A","INSIGNE","7.5","0","0","0","0","0","0","0","0","1","0","0","0","1","8.5","1.4342105263000002"
"410","A","MERTENS","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","-1.2236842105"
"2012","A","MILIK","7","1","0","0","0","0","0","0","0","0","0","1","0","1","10","7.1973684211"
"2016","D","FAZIO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.3289473683999997"
"256","D","JUAN JESUS","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.1710526316"
"2214","D","KOLAROV","7","1","0","0","0","0","0","0","0","0","0","1","0","1","10","3.8947368421000004"
"459","D","MANOLAS","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.75"
"463","C","DE ROSSI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2.4736842105"
"467","C","NAINGGOLAN","6.5","0","0","0","0","0","0","1","0","0","0","0","0","1","6.5","0.8684210525999996"
"237","C","PEROTTI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.6052631578999996"
"643","A","DEFREL","5","0","0","0","0","0","0","1","0","0","0","0","0","1","5","2.6842105263"
"647","A","DZEKO","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","-2.25"
"795","A","EL SHAARAWY","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-0.3289473683999997"
"490","D","REGINI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","4.342105263200001"
"630","D","SALA","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","3.5789473683999997"
"492","D","SILVESTRE","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.0921052631999997"
"1995","C","DJURICIC","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3.4736842105"
"2008","C","LINETTY","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.0789473683999997"
"2065","C","PRAET","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.25"
"2287","C","RAMIREZ","6.5","0","0","0","0","0","0","0","0","1","0","0","0","1","7.5","1.3289473683999997"
"1958","A","CAPRARI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.3421052631999997"
"568","A","QUAGLIARELLA","7.5","2","0","0","0","0","0","0","0","0","0","1","0","1","13.5","6.1973684211"
"509","P","CONSIGLI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.8684210525999996"
"513","D","ACERBI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.06578947369999977"
"2006","D","LIROLA","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.8157894737000002"
"521","D","PELUSO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.2236842105"
"526","C","DUNCAN","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.5263157895"
"528","C","MAGNANELLI","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","1.1447368421000004"
"529","C","MISSIROLI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.3815789474000004"
"1978","C","SENSI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3.1578947368"
"531","A","BERARDI","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0.3026315788999998"
"532","A","FALCINELLI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.0394736841999999"
"380","A","MATRI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2.3684210526"
"536","A","POLITANO","5","0","0","0","0","0","0","1","0","0","0","0","0","1","5","-1.5526315788999998"
"540","P","GOMIS A","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.3684210526"
"817","D","COSTA F","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","2.9078947368"
"106","D","MATTIELLO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.6052631578999996"
"2261","D","VICARI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.2894736841999999"
"2263","C","LAZZARI M","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.5"
"2265","C","SCHIATTARELLA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.3947368421000004"
"631","C","VIVIANI","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","1.1842105263000002"
"533","A","FLOCCARI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2.6315789474"
"126","A","PALOSCHI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-0.48684210530000005"
"2179","P","SIRIGU","6","0","1","0","0","0","0","0","0","0","0","0","0","1","5","-0.25"
"551","D","MOLINARO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","2.4605263158"
"552","D","MORETTI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","2.0921052632"
"2288","D","N'KOULOU","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.43421052630000023"
"555","C","ACQUAH","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.0657894737"
"238","C","RINCON","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","0.3289473683999997"
"2205","C","BERENGUER","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.9342105262999998"
"560","C","OBI","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1.0263157895"
"441","A","BELOTTI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-0.21052631580000014"
"475","A","IAGO FALQUE","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-1.6184210525999996"
"574","P","SCUFFET","5","0","2","0","0","0","0","0","0","0","0","0","0","1","3","2.3157894736999998"
"770","D","PEZZELLA GIU","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","3.3157894737"
"790","D","SAMIR","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.8026315788999998"
"587","D","WAGUE","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4.8684210526"
"2280","D","NUYTINCK","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.1447368421000004"
"1996","C","DE PAUL","6","0","0","0","0","0","0","0","0","1","0","0","0","1","7","0.7236842105000001"
"1986","C","FOFANA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","2.25"
"626","C","HALLFREDSSON","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.5921052632"
"1987","C","JANKTO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-0.5921052631999997"
"2302","C","BEHRAMI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","2.2236842105"
"90","A","LASAGNA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.3026315788999998"
"605","A","PERICA","5.5","0","0","0","0","0","0","1","0","0","0","0","0","1","5.5","2.1710526316"
"606","A","THEREAU","6.5","1","0","0","0","0","0","0","0","0","0","0","0","1","9.5","5.3947368421"
"2271","P","NICOLAS","5.5","0","3","0","0","0","0","0","0","0","0","0","0","1","2.5","-1.5131578947"
"45","D","FERRARI A","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1.3289473684000002"
"621","D","ROMULO","5.5","0","0","0","0","0","0","1","0","0","0","0","0","1","5.5","-0.6973684211000002"
"287","D","CACERES","4.5","0","0","0","0","0","0","0","0","0","0","0","0","1","4.5","1.0789473684000002"
"264","C","BESSA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.9078947368000003"
"2274","C","VALOTI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.9210526316000003"
"633","A","FARES","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.2368421053"
"2160","D","GOSENS","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","2.5657894737"
"2130","D","HATEBOER","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0.7894736841999999"
"15","D","MASIELLO A","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0.5789473683999997"
"2181","D","PALOMINO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","1.2894736841999999"
"695","D","TOLOI","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0.8289473683999997"
"28","C","KURTIC","5.5","0","0","0","0","0","0","1","0","0","0","0","0","2","5.5","0.7368421053"
"177","C","ILICIC","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","-0.8552631578999996"
"788","C","FREULER","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","-0.6315789474000004"
"779","C","CRISTANTE","6.5","1","0","0","0","0","0","0","0","0","0","0","0","2","9.5","3.0131578947"
"22","C","DE ROON","5","0","0","0","0","0","0","1","0","0","0","0","0","2","5","-0.5131578947"
"26","A","GOMEZ A","5.5","0","0","0","0","0","0","0","0","0","1","0","0","2","5.5","-0.5657894736999998"
"383","A","PETAGNA","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1.0657894736999998"
"720","P","BELEC","6.5","0","1","0","0","0","0","0","0","0","0","0","0","2","5.5","4.0526315789"
"21","C","D'ALESSANDRO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","3.7894736842"
"2243","C","CICIRETTI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","3.4342105263"
"333","C","CATALDI","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1.6052631578999996"
"2246","A","CERAVOLO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","5.3552631579"
"41","P","MIRANTE","7","0","0","0","0","0","0","1","0","0","0","0","0","2","7","2.8289473683999997"
"48","D","MAIETTA","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4.8421052632"
"50","D","MBAYE","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","1.6052631579"
"615","D","HELANDER","7","0","0","0","0","0","0","1","0","0","0","0","0","2","7","2.5263157895"
"224","D","DE MAIO","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1.8684210525999996"
"57","C","CRISETIG","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4.7894736842"
"1857","C","DI FRANCESCO F","6.5","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","2.5263157895"
"669","C","DONSAH","7","1","0","0","0","0","0","0","0","0","0","1","0","2","10","5.3684210526"
"374","C","POLI","5","0","0","0","0","0","0","1","0","0","0","0","0","2","5","-0.13157894740000042"
"376","C","VERDI","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","-0.5526315788999998"
"472","A","DESTRO","5","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0.5"
"2178","P","CRAGNO","6","0","2","0","0","0","0","0","0","0","0","0","0","2","4","0.3421052632000001"
"1865","D","CAPUANO","5","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1.2236842105"
"251","D","ANDREOLLI","5","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1.5526315788999998"
"1869","D","PISACANE","6.5","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","2.8815789474"
"301","D","PADOIN","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0.3421052631999997"
"1874","C","JOAO PEDRO","7","1","0","0","0","0","0","1","0","0","0","0","0","2","10","6.2631578947"
"627","C","IONITA","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0.5131578947"
"1870","C","BARELLA","7","0","0","0","0","0","0","0","0","0","0","0","0","2","7","1.0131578947"
"20","C","CIGARINI","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1.9210526316000003"
"1879","A","FARIAS","6.5","0","0","0","0","0","0","0","0","1","0","0","0","2","7.5","3.1447368421000004"
"1882","A","SAU","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1.5"
"413","P","SORRENTINO","5.5","0","2","0","0","0","0","0","0","0","0","0","0","2","3.5","-1.4736842105"
"105","D","GOBBI","5","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1.3947368421"
"100","D","CESAR","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4.5394736842"
"99","D","CACCIATORE","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","0.26315789469999995"
"111","C","BIRSA","6.5","0","0","0","0","0","0","1","0","0","0","0","0","2","6.5","0.6973684211000002"
"112","C","CASTRO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","2.2105263158"
"115","C","HETEMAJ","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0.6842105263000002"
"118","C","RADOVANOVIC","5.5","0","0","0","0","0","0","0","0","0","0","0","0","2","5.5","0.02631578949999991"
"156","A","PUCCIARELLI","6.5","1","0","0","0","0","0","0","0","0","0","0","0","2","9.5","6.092105263200001"
"127","A","PELLISSIER","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","2.9736842105"
"123","A","INGLESE","6","0","0","0","0","0","0","0","0","0","0","0","0","2","6","-0.18421052630000023"
"1933","C","MANDRAGORA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","0.7631578947"
"789","A","TROTTA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","0.6578947368000003"
"4","P","SPORTIELLO","5.5","0","2","0","0","0","0","0","0","0","0","0","0","2","3.5","-1.5"
"169","D","TOMOVIC","4.5","0","0","0","0","0","0","1","0","0","0","0","0","2","4.5","0.13157894740000042"
