"Match"
"Atalanta-Roma"
"Bologna-Torino"
"Crotone-Milan"
"Verona-Napoli"
"Inter-Fiorentina"
"Juventus-Cagliari"
"Lazio-Spal"
"Sampdoria-Benevento"
"Sassuolo-Genoa"
"Udinese-Chievo"
"Benevento-Bologna"
"Chievo-Lazio"
"Crotone-Verona"
"Fiorentina-Sampdoria"
"Genoa-Juventus"
"Milan-Cagliari"
"Napoli-Atalanta"
"Roma-Inter"
"Spal-Udinese"
"Torino-Sassuolo"
"Atalanta-Sassuolo"
"Benevento-Torino"
"Bologna-Napoli"
"Cagliari-Crotone"
"Verona-Fiorentina"
"Inter-Spal"
"Juventus-Chievo"
"Lazio-Milan"
"Sampdoria-Roma"
"Udinese-Genoa"
"Chievo-Atalanta"
"Crotone-Inter"
"Fiorentina-Bologna"
"Genoa-Lazio"
"Milan-Udinese"
"Napoli-Benevento"
"Roma-Verona"
"Sassuolo-Juventus"
"Spal-Cagliari"
"Torino-Sampdoria"
"Atalanta-Crotone"
"Benevento-Roma"
"Bologna-Inter"
"Cagliari-Sassuolo"
"Genoa-Chievo"
"Verona-Sampdoria"
"Juventus-Fiorentina"
"Lazio-Napoli"
"Milan-Spal"
"Udinese-Torino"
"Cagliari-Chievo"
"Crotone-Benevento"
"Fiorentina-Atalanta"
"Verona-Lazio"
"Inter-Genoa"
"Juventus-Torino"
"Roma-Udinese"
"Sampdoria-Milan"
"Sassuolo-Bologna"
"Spal-Napoli"
"Atalanta-Cagliari"
"Benevento-Chievo"
"Bologna-Udinese"
"Crotone-Napoli"
"Fiorentina-Milan"
"Verona-Juventus"
"Inter-Lazio"
"Roma-Sassuolo"
"Sampdoria-Spal"
"Torino-Genoa"
"Atalanta-Juventus"
"Benevento-Inter"
"Chievo-Fiorentina"
"Genoa-Bologna"
"Lazio-Sassuolo"
"Milan-Roma"
"Napoli-Cagliari"
"Spal-Crotone"
"Torino-Verona"
"Udinese-Sampdoria"
"Bologna-Spal"
"Cagliari-Genoa"
"Crotone-Torino"
"Fiorentina-Udinese"
"Verona-Benevento"
"Inter-Milan"
"Juventus-Lazio"
"Roma-Napoli"
"Sampdoria-Atalanta"
"Sassuolo-Chievo"
"Atalanta-Bologna"
"Benevento-Fiorentina"
"Chievo-Verona"
"Lazio-Cagliari"
"Milan-Genoa"
"Napoli-Inter"
"Sampdoria-Crotone"
"Spal-Sassuolo"
"Torino-Roma"
"Udinese-Juventus"
"Atalanta-Verona"
"Bologna-Lazio"
"Cagliari-Benevento"
"Chievo-Milan"
"Fiorentina-Torino"
"Genoa-Napoli"
"Inter-Sampdoria"
"Juventus-Spal"
"Roma-Crotone"
"Sassuolo-Udinese"
"Benevento-Lazio"
"Crotone-Fiorentina"
"Verona-Inter"
"Milan-Juventus"
"Napoli-Sassuolo"
"Roma-Bologna"
"Sampdoria-Chievo"
"Spal-Genoa"
"Torino-Cagliari"
"Udinese-Atalanta"
"Atalanta-Spal"
"Bologna-Crotone"
"Cagliari-Verona"
"Chievo-Napoli"
"Fiorentina-Roma"
"Genoa-Sampdoria"
"Inter-Torino"
"Juventus-Benevento"
"Lazio-Udinese"
"Sassuolo-Milan"
"Benevento-Sassuolo"
"Crotone-Genoa"
"Verona-Bologna"
"Inter-Atalanta"
"Napoli-Milan"
"Roma-Lazio"
"Sampdoria-Juventus"
"Spal-Fiorentina"
"Torino-Chievo"
"Udinese-Cagliari"
"Atalanta-Benevento"
"Bologna-Sampdoria"
"Cagliari-Inter"
"Chievo-Spal"
"Genoa-Roma"
"Juventus-Crotone"
"Lazio-Fiorentina"
"Milan-Torino"
"Sassuolo-Verona"
"Udinese-Napoli"
"Benevento-Milan"
"Bologna-Cagliari"
"Crotone-Udinese"
"Fiorentina-Sassuolo"
"Verona-Genoa"
"Inter-Chievo"
"Napoli-Juventus"
"Roma-Spal"
"Sampdoria-Lazio"
"Torino-Atalanta"
"Cagliari-Sampdoria"
"Chievo-Roma"
"Genoa-Atalanta"
"Juventus-Inter"
"Lazio-Torino"
"Milan-Bologna"
"Napoli-Fiorentina"
"Sassuolo-Crotone"
"Spal-Verona"
"Udinese-Benevento"
"Atalanta-Lazio"
"Benevento-Spal"
"Bologna-Juventus"
"Crotone-Chievo"
"Fiorentina-Genoa"
"Verona-Milan"
"Inter-Udinese"
"Roma-Cagliari"
"Sampdoria-Sassuolo"
"Torino-Napoli"
"Cagliari-Fiorentina"
"Chievo-Bologna"
"Genoa-Benevento"
"Juventus-Roma"
"Lazio-Crotone"
"Milan-Atalanta"
"Napoli-Sampdoria"
"Sassuolo-Inter"
"Spal-Torino"
"Udinese-Verona"
