"Squadra","Avversario","Day","SquadraCasa"
"Torino","Fiorentina","11",0
"Genoa","Napoli","11",1
"Napoli","Genoa","11",0
"Inter","Sampdoria","11",1
"Sampdoria","Inter","11",0
"Juventus","Spal","11",1
"Spal","Juventus","11",0
"Roma","Crotone","11",1
"Crotone","Roma","11",0
"Sassuolo","Udinese","11",1
"Udinese","Sassuolo","11",0
"Benevento","Lazio","12",1
"Lazio","Benevento","12",0
"Crotone","Fiorentina","12",1
"Fiorentina","Crotone","12",0
"Verona","Inter","12",1
"Inter","Verona","12",0
"Milan","Juventus","12",1
"Juventus","Milan","12",0
"Napoli","Sassuolo","12",1
"Sassuolo","Napoli","12",0
"Roma","Bologna","12",1
"Bologna","Roma","12",0
"Sampdoria","Chievo","12",1
"Chievo","Sampdoria","12",0
"Spal","Genoa","12",1
"Genoa","Spal","12",0
"Torino","Cagliari","12",1
"Cagliari","Torino","12",0
"Udinese","Atalanta","12",1
"Atalanta","Udinese","12",0
"Atalanta","Spal","13",1
"Spal","Atalanta","13",0
"Bologna","Crotone","13",1
"Crotone","Bologna","13",0
"Cagliari","Verona","13",1
"Verona","Cagliari","13",0
"Chievo","Napoli","13",1
"Napoli","Chievo","13",0
"Fiorentina","Roma","13",1
"Roma","Fiorentina","13",0
"Genoa","Sampdoria","13",1
"Sampdoria","Genoa","13",0
"Inter","Torino","13",1
"Torino","Inter","13",0
"Juventus","Benevento","13",1
"Benevento","Juventus","13",0
"Lazio","Udinese","13",1
"Udinese","Lazio","13",0
"Sassuolo","Milan","13",1
"Milan","Sassuolo","13",0
"Benevento","Sassuolo","14",1
"Sassuolo","Benevento","14",0
"Crotone","Genoa","14",1
"Genoa","Crotone","14",0
"Verona","Bologna","14",1
"Bologna","Verona","14",0
"Inter","Atalanta","14",1
"Atalanta","Inter","14",0
"Napoli","Milan","14",1
"Milan","Napoli","14",0
"Roma","Lazio","14",1
"Lazio","Roma","14",0
"Sampdoria","Juventus","14",1
"Juventus","Sampdoria","14",0
"Spal","Fiorentina","14",1
"Fiorentina","Spal","14",0
"Torino","Chievo","14",1
"Chievo","Torino","14",0
"Udinese","Cagliari","14",1
"Cagliari","Udinese","14",0
"Atalanta","Benevento","15",1
"Benevento","Atalanta","15",0
"Bologna","Sampdoria","15",1
"Sampdoria","Bologna","15",0
"Cagliari","Inter","15",1
"Inter","Cagliari","15",0
"Chievo","Spal","15",1
"Spal","Chievo","15",0
"Genoa","Roma","15",1
"Roma","Genoa","15",0
"Juventus","Crotone","15",1
"Crotone","Juventus","15",0
"Lazio","Fiorentina","15",1
"Fiorentina","Lazio","15",0
"Milan","Torino","15",1
"Torino","Milan","15",0
"Sassuolo","Verona","15",1
"Verona","Sassuolo","15",0
"Udinese","Napoli","15",1
"Napoli","Udinese","15",0
"Benevento","Milan","16",1
"Milan","Benevento","16",0
"Bologna","Cagliari","16",1
"Cagliari","Bologna","16",0
"Crotone","Udinese","16",1
"Udinese","Crotone","16",0
"Fiorentina","Sassuolo","16",1
"Sassuolo","Fiorentina","16",0
"Verona","Genoa","16",1
"Genoa","Verona","16",0
"Inter","Chievo","16",1
"Chievo","Inter","16",0
"Napoli","Juventus","16",1
"Juventus","Napoli","16",0
"Roma","Spal","16",1
"Spal","Roma","16",0
"Sampdoria","Lazio","16",1
"Lazio","Sampdoria","16",0
"Torino","Atalanta","16",1
"Atalanta","Torino","16",0
"Cagliari","Sampdoria","17",1
"Sampdoria","Cagliari","17",0
"Chievo","Roma","17",1
"Roma","Chievo","17",0
"Genoa","Atalanta","17",1
"Atalanta","Genoa","17",0
"Juventus","Inter","17",1
"Inter","Juventus","17",0
"Lazio","Torino","17",1
"Torino","Lazio","17",0
"Milan","Bologna","17",1
"Bologna","Milan","17",0
"Napoli","Fiorentina","17",1
"Fiorentina","Napoli","17",0
"Sassuolo","Crotone","17",1
"Crotone","Sassuolo","17",0
"Spal","Verona","17",1
"Verona","Spal","17",0
"Udinese","Benevento","17",1
"Benevento","Udinese","17",0
"Atalanta","Lazio","18",1
"Lazio","Atalanta","18",0
"Benevento","Spal","18",1
"Spal","Benevento","18",0
"Bologna","Juventus","18",1
"Juventus","Bologna","18",0
"Crotone","Chievo","18",1
"Chievo","Crotone","18",0
"Fiorentina","Genoa","18",1
"Genoa","Fiorentina","18",0
"Verona","Milan","18",1
"Milan","Verona","18",0
"Inter","Udinese","18",1
"Udinese","Inter","18",0
"Roma","Cagliari","18",1
"Cagliari","Roma","18",0
"Sampdoria","Sassuolo","18",1
"Sassuolo","Sampdoria","18",0
"Torino","Napoli","18",1
"Napoli","Torino","18",0
"Cagliari","Fiorentina","19",1
"Fiorentina","Cagliari","19",0
"Chievo","Bologna","19",1
"Bologna","Chievo","19",0
"Genoa","Benevento","19",1
"Benevento","Genoa","19",0
"Juventus","Roma","19",1
"Roma","Juventus","19",0
"Lazio","Crotone","19",1
"Crotone","Lazio","19",0
"Milan","Atalanta","19",1
"Atalanta","Milan","19",0
"Napoli","Sampdoria","19",1
"Sampdoria","Napoli","19",0
"Sassuolo","Inter","19",1
"Inter","Sassuolo","19",0
"Spal","Torino","19",1
"Torino","Spal","19",0
"Udinese","Verona","19",1
"Verona","Udinese","19",0
"Atalanta","Roma",20,0
"Roma","Atalanta",20,1
"Bologna","Torino",20,0
"Torino","Bologna",20,1
"Crotone","Milan",20,0
"Milan","Crotone",20,1
"Verona","Napoli",20,0
"Napoli","Verona",20,1
"Inter","Fiorentina",20,0
"Fiorentina","Inter",20,1
"Juventus","Cagliari",20,0
"Cagliari","Juventus",20,1
"Lazio","Spal",20,0
"Spal","Lazio",20,1
"Sampdoria","Benevento",20,0
"Benevento","Sampdoria",20,1
"Sassuolo","Genoa",20,0
"Genoa","Sassuolo",20,1
"Udinese","Chievo",20,0
"Chievo","Udinese",20,1
"Benevento","Bologna",21,0
"Bologna","Benevento",21,1
"Chievo","Lazio",21,0
"Lazio","Chievo",21,1
"Crotone","Verona",21,0
"Verona","Crotone",21,1
"Fiorentina","Sampdoria",21,0
"Sampdoria","Fiorentina",21,1
"Genoa","Juventus",21,0
"Juventus","Genoa",21,1
"Milan","Cagliari",21,0
"Cagliari","Milan",21,1
"Napoli","Atalanta",21,0
"Atalanta","Napoli",21,1
"Roma","Inter",21,0
"Inter","Roma",21,1
"Spal","Udinese",21,0
"Udinese","Spal",21,1
"Torino","Sassuolo",21,0
"Sassuolo","Torino",21,1
"Atalanta","Sassuolo",22,0
"Sassuolo","Atalanta",22,1
"Benevento","Torino",22,0
"Torino","Benevento",22,1
"Bologna","Napoli",22,0
"Napoli","Bologna",22,1
"Cagliari","Crotone",22,0
"Crotone","Cagliari",22,1
"Verona","Fiorentina",22,0
"Fiorentina","Verona",22,1
"Inter","Spal",22,0
"Spal","Inter",22,1
"Juventus","Chievo",22,0
"Chievo","Juventus",22,1
"Lazio","Milan",22,0
"Milan","Lazio",22,1
"Sampdoria","Roma",22,0
"Roma","Sampdoria",22,1
"Udinese","Genoa",22,0
"Genoa","Udinese",22,1
"Chievo","Atalanta",23,0
"Atalanta","Chievo",23,1
"Crotone","Inter",23,0
"Inter","Crotone",23,1
"Fiorentina","Bologna",23,0
"Bologna","Fiorentina",23,1
"Genoa","Lazio",23,0
"Lazio","Genoa",23,1
"Milan","Udinese",23,0
"Udinese","Milan",23,1
"Napoli","Benevento",23,0
"Benevento","Napoli",23,1
"Roma","Verona",23,0
"Verona","Roma",23,1
"Sassuolo","Juventus",23,0
"Juventus","Sassuolo",23,1
"Spal","Cagliari",23,0
"Cagliari","Spal",23,1
"Torino","Sampdoria",23,0
"Sampdoria","Torino",23,1
"Atalanta","Crotone",24,0
"Crotone","Atalanta",24,1
"Benevento","Roma",24,0
"Roma","Benevento",24,1
"Bologna","Inter",24,0
"Inter","Bologna",24,1
"Cagliari","Sassuolo",24,0
"Sassuolo","Cagliari",24,1
"Genoa","Chievo",24,0
"Chievo","Genoa",24,1
"Verona","Sampdoria",24,0
"Sampdoria","Verona",24,1
"Juventus","Fiorentina",24,0
"Fiorentina","Juventus",24,1
"Lazio","Napoli",24,0
"Napoli","Lazio",24,1
"Milan","Spal",24,0
"Spal","Milan",24,1
"Udinese","Torino",24,0
"Torino","Udinese",24,1
"Cagliari","Chievo",25,0
"Chievo","Cagliari",25,1
"Crotone","Benevento",25,0
"Benevento","Crotone",25,1
"Fiorentina","Atalanta",25,0
"Atalanta","Fiorentina",25,1
"Verona","Lazio",25,0
"Lazio","Verona",25,1
"Inter","Genoa",25,0
"Genoa","Inter",25,1
"Juventus","Torino",25,0
"Torino","Juventus",25,1
"Roma","Udinese",25,0
"Udinese","Roma",25,1
"Sampdoria","Milan",25,0
"Milan","Sampdoria",25,1
"Sassuolo","Bologna",25,0
"Bologna","Sassuolo",25,1
"Spal","Napoli",25,0
"Napoli","Spal",25,1
"Atalanta","Cagliari",26,0
"Cagliari","Atalanta",26,1
"Benevento","Chievo",26,0
"Chievo","Benevento",26,1
"Bologna","Udinese",26,0
"Udinese","Bologna",26,1
"Crotone","Napoli",26,0
"Napoli","Crotone",26,1
"Fiorentina","Milan",26,0
"Milan","Fiorentina",26,1
"Verona","Juventus",26,0
"Juventus","Verona",26,1
"Inter","Lazio",26,0
"Lazio","Inter",26,1
"Roma","Sassuolo",26,0
"Sassuolo","Roma",26,1
"Sampdoria","Spal",26,0
"Spal","Sampdoria",26,1
"Torino","Genoa",26,0
"Genoa","Torino",26,1
"Atalanta","Juventus",27,0
"Juventus","Atalanta",27,1
"Benevento","Inter",27,0
"Inter","Benevento",27,1
"Chievo","Fiorentina",27,0
"Fiorentina","Chievo",27,1
"Genoa","Bologna",27,0
"Bologna","Genoa",27,1
"Lazio","Sassuolo",27,0
"Sassuolo","Lazio",27,1
"Milan","Roma",27,0
"Roma","Milan",27,1
"Napoli","Cagliari",27,0
"Cagliari","Napoli",27,1
"Spal","Crotone",27,0
"Crotone","Spal",27,1
"Torino","Verona",27,0
"Verona","Torino",27,1
"Udinese","Sampdoria",27,0
"Sampdoria","Udinese",27,1
"Bologna","Spal",28,0
"Spal","Bologna",28,1
"Cagliari","Genoa",28,0
"Genoa","Cagliari",28,1
"Crotone","Torino",28,0
"Torino","Crotone",28,1
"Fiorentina","Udinese",28,0
"Udinese","Fiorentina",28,1
"Verona","Benevento",28,0
"Benevento","Verona",28,1
"Inter","Milan",28,0
"Milan","Inter",28,1
"Juventus","Lazio",28,0
"Lazio","Juventus",28,1
"Roma","Napoli",28,0
