"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","FantasyEvaluation","Year"
1882,"A","SAU",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1883,"ALL","RASTELLI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
413,"P","SORRENTINO",6,0,1,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
99,"D","CACCIATORE",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
101,"D","DAINELLI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
104,"D","GAMBERINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
105,"D","GOBBI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
111,"C","BIRSA",7.5,1,0,0,0,0,0,0,0,0,1,1,0,1,10.5,"2017-18"
112,"C","CASTRO",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,"2017-18"
2183,"C","GARRITANO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
115,"C","HETEMAJ",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
118,"C","RADOVANOVIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
119,"C","RIGONI N",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
123,"A","INGLESE",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10,"2017-18"
127,"A","PELLISSIER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
156,"A","PUCCIARELLI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
680,"ALL","MARAN",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
1889,"P","CORDAZ",6,0,3,0,0,0,0,0,0,0,0,0,0,1,3,"2017-18"
2202,"D","CABRERA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1891,"D","CECCHERINI",4,0,0,0,0,0,0,0,1,0,0,0,0,1,4,"2017-18"
2071,"D","DUSSENNE",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5,"2017-18"
581,"D","FARAONI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1896,"D","MARTELLA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1901,"C","BARBERIS",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
116,"C","IZCO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
1906,"C","NALINI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2014,"C","ROHDEN",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
121,"C","STOIAN",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1933,"C","MANDRAGORA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1973,"A","BUDIMIR",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
789,"A","TROTTA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1911,"ALL","NICOLA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
4,"P","SPORTIELLO",6.5,0,3,0,0,0,0,0,0,0,0,0,0,1,3.5,"2017-18"
642,"D","ASTORI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2087,"D","OLIVERA M",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
169,"D","TOMOVIC",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,"2017-18"
2165,"D","VITOR HUGO",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,"2017-18"
2075,"C","CRISTOFORO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2058,"C","SANCHEZ C",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5,"2017-18"
2215,"C","VERETOUT",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2290,"C","EYSSERIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2301,"C","GIL DIAS",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
557,"C","BENASSI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2061,"A","SIMEONE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
183,"A","BABACAR",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2207,"A","ZEKHNINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
676,"ALL","PIOLI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
218,"P","PERIN",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2083,"D","BIRASCHI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
323,"D","GENTILETTI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
54,"D","ROSSETTINI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
2293,"C","OMEONGA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2111,"C","TAARABT",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
366,"C","BERTOLACCI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
235,"C","LAXALT",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
236,"C","LAZOVIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2011,"C","MIGUEL VELOSO",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
2196,"A","GALABINOV",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1909,"A","PALLADINO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
245,"A","PANDEV",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2304,"A","SALCEDO MORA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1924,"ALL","JURIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
250,"P","HANDANOVIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
253,"D","D'AMBROSIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
257,"D","MIRANDA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
260,"D","NAGATOMO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
798,"D","SKRINIAR",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
172,"C","BORJA VALERO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
265,"C","BROZOVIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
332,"C","CANDREVA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
801,"C","GAGLIARDINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2078,"C","JOAO MARIO",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,"2017-18"
704,"C","PERISIC",7,1,0,0,0,0,0,0,0,1,0,0,0,1,11,"2017-18"
181,"C","VECINO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
506,"A","EDER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
277,"A","ICARDI",7.5,1,0,0,0,1,0,0,0,0,0,1,0,1,13.5,"2017-18"
782,"ALL","SPALLETTI",7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,"2017-18"
282,"P","BUFFON",7,0,0,1,0,0,0,0,0,0,0,0,0,1,10,"2017-18"
662,"D","ALEX SANDRO",6,0,0,0,0,0,0,0,0,1,0,0,0,1,7,"2017-18"
288,"D","CHIELLINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
292,"D","LICHTSTEINER",6.5,0,0,0,0,0,0,1,0,1,0,0,0,1,7.5,"2017-18"
294,"D","RUGANI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
697,"C","CUADRADO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2200,"C","DOUGLAS COSTA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
299,"C","KHEDIRA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
300,"C","MARCHISIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
469,"C","PJANIC",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,"2017-18"
2306,"C","MATUIDI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
309,"A","DYBALA",7.5,1,0,0,0,0,0,0,0,0,0,0,0,1,10.5,"2017-18"
408,"A","HIGUAIN",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10,"2017-18"
312,"A","MANDZUKIC",7,1,0,0,0,0,0,0,0,0,0,1,0,1,10,"2017-18"
686,"ALL","ALLEGRI",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
1934,"P","STRAKOSHA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
319,"D","BASTA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
322,"D","DE VRIJ",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1999,"D","LUKAKU J",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
329,"D","RADU",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2007,"D","WALLACE",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
2085,"C","LUIS ALBERTO",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5,"2017-18"
338,"C","LULIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2188,"C","MARUSIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
645,"C","MILINKOVIC-SAVIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
342,"C","PAROLO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
785,"A","IMMOBILE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2299,"A","PALOMBI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
2284,"A","CAICEDO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
826,"ALL","INZAGHI S",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
350,"P","DONNARUMMA G",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
353,"D","ABATE",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
286,"D","BONUCCI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
11,"D","CONTI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2168,"D","MUSACCHIO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2169,"D","RODRIGUEZ R",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2194,"C","CALHANOGLU",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
1850,"C","KESSIE'",7,0,0,0,0,1,0,0,0,0,0,1,0,1,10,"2017-18"
827,"C","LOCATELLI M",6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,6.5,"2017-18"
375,"C","SUSO",7.5,1,0,0,0,0,0,0,0,1,0,0,0,1,11.5,"2017-18"
371,"C","MAURI J",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2175,"A","ANDRE' SILVA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2187,"A","BORINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2155,"A","CUTRONE",7.5,1,0,0,0,0,0,1,0,1,0,0,0,1,11.5,"2017-18"
763,"ALL","MONTELLA",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
387,"P","REINA",6.5,0,1,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
640,"D","CHIRICHES",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
390,"D","GHOULAM",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10,"2017-18"
140,"D","HYSAJ",5,0,0,0,0,0,0,0,1,0,0,0,0,1,5,"2017-18"
392,"D","KOULIBALY",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
397,"C","ALLAN",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
58,"C","DIAWARA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
702,"C","GIACCHERINI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
402,"C","HAMSIK",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
152,"C","ZIELINSKI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
406,"A","CALLEJON",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
409,"A","INSIGNE",7.5,0,0,0,0,0,0,0,0,1,0,0,0,1,8.5,"2017-18"
410,"A","MERTENS",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2012,"A","MILIK",7,1,0,0,0,0,0,0,0,0,0,1,0,1,10,"2017-18"
688,"ALL","SARRI",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
1964,"P","ALISSON",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
546,"D","BRUNO PERES",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2016,"D","FAZIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
256,"D","JUAN JESUS",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2214,"D","KOLAROV",7,1,0,0,0,0,0,0,0,0,0,1,0,1,10,"2017-18"
459,"D","MANOLAS",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
463,"C","DE ROSSI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
467,"C","NAINGGOLAN",6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,6.5,"2017-18"
530,"C","PELLEGRINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
237,"C","PEROTTI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
470,"C","STROOTMAN",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
643,"A","DEFREL",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5,"2017-18"
647,"A","DZEKO",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
795,"A","EL SHAARAWY",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
691,"ALL","DI FRANCESCO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
483,"P","PUGGIONI",6.5,0,1,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
197,"D","PAVLOVIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
490,"D","REGINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
630,"D","SALA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
492,"D","SILVESTRE",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
494,"C","BARRETO E",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
1995,"C","DJURICIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2008,"C","LINETTY",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2065,"C","PRAET",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
1972,"C","TORREIRA",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
2287,"C","RAMIREZ",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,"2017-18"
505,"A","BONAZZOLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1958,"A","CAPRARI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
568,"A","QUAGLIARELLA",7.5,2,0,0,0,0,0,0,0,0,0,1,0,1,13.5,"2017-18"
681,"ALL","GIAMPAOLO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
509,"P","CONSIGLI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
513,"D","ACERBI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
516,"D","CANNAVARO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2006,"D","LIROLA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
521,"D","PELUSO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
526,"C","DUNCAN",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
528,"C","MAGNANELLI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
529,"C","MISSIROLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1978,"C","SENSI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
531,"A","BERARDI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
532,"A","FALCINELLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
380,"A","MATRI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
536,"A","POLITANO",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5,"2017-18"
2073,"A","RAGUSA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2254,"ALL","BUCCHI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
540,"P","GOMIS A",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
817,"D","COSTA F",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
106,"D","MATTIELLO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
52,"D","OIKONOMOU",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2261,"D","VICARI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
1893,"D","CREMONESI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2212,"D","VAISANEN",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2263,"C","LAZZARI M",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2264,"C","MORA",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
2265,"C","SCHIATTARELLA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
631,"C","VIVIANI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
533,"A","FLOCCARI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
126,"A","PALOSCHI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
722,"A","BORRIELLO",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
2269,"ALL","SEMPLICI",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"2017-18"
2179,"P","SIRIGU",6,0,1,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
551,"D","MOLINARO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
552,"D","MORETTI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
554,"D","ZAPPACOSTA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2288,"D","N'KOULOU",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
555,"C","ACQUAH",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
238,"C","RINCON",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
2205,"C","BERENGUER",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
560,"C","OBI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
441,"A","BELOTTI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
475,"A","IAGO FALQUE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
478,"A","LJAJIC",7,1,0,0,0,0,0,0,0,0,0,0,1,1,10,"2017-18"
687,"ALL","MIHAJLOVIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
