"","Group.1","x","presenze[, 2]"
"165","DELL'ORCO",0.316964285714286,8
"166","DELNERI",0.793560606060606,12
"167","DEPAOLI",0.203216374269006,19
"168","DESSENA",0.0955882352941176,17
"169","DESTRO",0.581538461538462,26
"170","DI CHIARA",0.307692307692308,13
"171","DI FRANCESCO",0.576102418207681,38
"172","DI FRANCESCO F",0.259057971014493,24
"173","DI GENNARO D",0,2
"174","DIABATE'",1.31363636363636,11
"175","DIABY",0,2
"176","DIAWARA",0.125,18
"177","DJIMSITI",0.567816091954023,30
"178","DJURICIC",0.4625,16
"179","DONADONI",0.42549786628734,38
"180","DONNARUMMA G",0.160206258890469,38
"181","DONSAH",0.313492063492063,28
"182","DOUGLAS COSTA",0.291397849462366,31
"183","DRAGOWSKI",1,3
"184","DRAME'",0.2,5
"185","DUNCAN",0.484615384615385,26
"186","DUSSENNE",NA,1
"187","DYBALA",1.20880681818182,33
"188","DZEKO",0.905357142857143,36
"189","DZEMAILI",0.364285714285714,15
"190","EDER",0.133620689655172,29
"191","EDERA",0.0837912087912088,14
"192","EL SHAARAWY",0.501893939393939,33
"193","EL YAMIQ",0.5625,4
"194","EMERSON",NA,1
"195","EVERTON LUIZ",0.254545454545455,11
"196","EYSSERIC",0.207142857142857,21
"197","FALCINELLI",0.251764112903226,32
"198","FALLETTI",0.272435897435897,13
"199","FARAGO",0.30787037037037,28
"200","FARAGO'",0.226190476190476,7
"201","FARAONI",0.244708994708995,28
"202","FARES",0.34367816091954,30
"203","FARIAS",0.342261904761905,28
"204","FAZIO",0.404857397504456,34
"205","FELICIOLI",0.0666666666666667,6
"206","FELIPE",0.632471264367816,30
"207","FELIPE ANDERSON",0.26547619047619,21
"208","FERRARI A",0.519166666666667,25
"209","FERRARI G",0.646264367816092,30
"210","FLOCCARI",0.286842105263158,20
"211","FLORENZI",0.274193548387097,32
"212","FOFANA",0.611823361823362,27
"213","FOSSATI",0.1875,17
"214","FREULER",0.352100840336134,35
"215","GAGLIARDINI",0.254022988505747,30
"216","GALABINOV",0.357894736842105,20
"217","GAMBERINI",0.383399209486166,23
"218","GARRITANO",0.122727272727273,11
"219","GASPAR B",0.388095238095238,15
"220","GASPERINI",0.498044096728307,38
"221","GATTUSO",0.95606884057971,24
"222","GAUDINO",0,2
"223","GAZZOLA",0.194444444444444,9
"224","GENTILETTI",0.916666666666667,4
"225","GERSON",0.27536231884058,24
"226","GHOULAM",0.522727272727273,11
"227","GIACCHERINI",0.340073529411765,17
"228","GIAMPAOLO",0.939544807965861,38
"229","GIANNETTI",0.209821428571429,8
"230","GIL DIAS",0.188746438746439,27
"231","GOBBI",0.384057971014493,24
"232","GOLDANIGA",0.41025641025641,13
"233","GOLLINI",0.119047619047619,7
"234","GOMEZ A",0.387784090909091,33
"235","GOMIS A",0.226153846153846,26
"236","GONALONS",0.283333333333333,16
"237","GONZALEZ G",0.617424242424242,22
"238","GOSENS",0.111904761904762,21
"239","GRASSI",0.228835978835979,28
"240","GRAVILLON",0.125,2
"241","GUILHERME",0.278409090909091,12
"242","GUSTAFSON",0.0833333333333333,4
"243","GYAMFI",0.125,9
"244","HAAS",0.131944444444444,9
"245","HALLFREDSSON",0.366959064327485,19
"246","HAMSIK",0.418207681365576,38
"247","HAN",0.238095238095238,7
"248","HANDANOVIC",0.305832147937411,38
"249","HATEBOER",0.125,33
"250","HECTOR MORENO",0.125,5
"251","HELANDER",0.355295566502463,29
"252","HETEMAJ",0.466733870967742,32
"253","HEURTAUX",0.702205882352941,17
"254","HIGUAIN",0.746638655462185,35
"255","HILJEMARK",0.328571428571429,15
"256","HOWEDES",0.25,3
"257","HYSAJ",0.217226890756303,35
"258","IACHINI",0.96195652173913,24
"259","IAGO FALQUE",0.503003003003003,37
"260","ICARDI",1.4777183600713,34
"261","IEMMELLO",0.357291666666667,16
"262","ILICIC",0.615591397849462,31
"263","IMMOBILE",1.44507575757576,33
"264","INGELSSON",0.238095238095238,7
"265","INGLESE",0.628342245989305,34
"266","INSIGNE",0.597972972972973,37
"267","INZAGHI S",0.686344238975818,38
"268","IONITA",0.164087301587302,36
"269","IZCO",0.175,5
"270","IZZO",0.4625,16
"271","JANKTO",0.39265873015873,36
"272","JAROSZYNSKI",0.313636363636364,11
"273","JOAO MARIO",0.230769230769231,14
"274","JOAO PEDRO",0.517316017316017,22
"275","JORGINHO",0.333806818181818,33
"276","JUAN JESUS",0.446428571428571,22
"277","JURIC",0.446969696969697,12
"278","KALINIC",0.679569892473118,31
"279","KANOUTE",0.125,2
"280","KARAMOH",0.315625,16
"281","KARSDORP",NA,1
"282","KEAN",0.672514619883041,19
"283","KEITA C",0.25,3
"284","KESSIE'",0.594219219219219,37
"285","KHEDIRA",0.678846153846154,26
"286","KOLAROV",0.489495798319328,35
"287","KOULIBALY",0.561764705882353,35
"288","KOWNACKI",0.283549783549784,22
"289","KRAFTH",0.15719696969697,12
"290","KRAGL",0.075,5
"291","KREJCI",0.15719696969697,12
"292","KURTIC",0.374712643678161,30
