"","Nome","Squadra"
"431","GOMEZ G","Milan"
"432","GUSTAFSON","Torino"
"433","SANCHEZ C","Fiorentina"
"434","MILIC","Napoli"
"435","SIMEONE","Fiorentina"
"436","BASTOS","Lazio"
"437","JOSE' SOSA","Milan"
"438","PRAET","Sampdoria"
"439","DUSSENNE","Crotone"
"440","BASTIEN","Chievo"
"441","RAGUSA","Sassuolo"
"442","CRISTOFORO","Fiorentina"
"443","ROG","Napoli"
"444","JOAO MARIO","Inter"
"445","GABIGOL","Inter"
"446","BIRASCHI","Genoa"
"447","LUIS ALBERTO","Lazio"
"448","IEMMELLO","Benevento"
"449","OLIVERA M","Fiorentina"
"450","KEAN","Verona"
"451","OKWONKWO","Bologna"
"452","PELLEGRI","Genoa"
"453","BERESZYNSKI","Sampdoria"
"454","MOROSINI","Genoa"
"455","KIYINE","Chievo"
"456","TAARABT","Genoa"
"457","PETKOVIC","Verona"
"458","FARAGO'","Cagliari"
"459","BASTONI","Atalanta"
"460","MELEGONI","Atalanta"
"461","SATALINO","Sassuolo"
"462","SIMIC L","SPAL"
"463","HATEBOER","Atalanta"
"464","KOTNIK","Crotone"
"465","VALENCIA JM","Bologna"
"466","SCAMACCA","Sassuolo"
"467","SULJIC","Crotone"
"468","DEPAOLI","Chievo"
"469","HAN","Cagliari"
"470","CUTRONE","Milan"
"471","CROSTA","Cagliari"
"472","GOSENS","Atalanta"
"473","HAAS","Atalanta"
"474","JOAO SCHMIDT","Atalanta"
"475","CORNELIUS","Atalanta"
"476","MILENKOVIC","Fiorentina"
"477","VITOR HUGO","Fiorentina"
"478","BENTANCUR","Juventus"
"479","ORSOLINI","Bologna"
"480","MUSACCHIO","Milan"
"481","RODRIGUEZ R","Milan"
"482","MILINKOVIC-SAVIC V","Torino"
"483","LYANCO","Torino"
"484","BARAK","Udinese"
"485","MALLE'","Udinese"
"486","VENUTI","Benevento"
"487","ANDRE' SILVA","Milan"
"488","HECTOR MORENO","Roma"
"489","GASPAR B","Fiorentina"
"490","CRAGNO","Cagliari"
"491","SIRIGU","Torino"
"492","KARSDORP","Roma"
"493","PALOMINO","Atalanta"
"494","RIGIONE","Chievo"
"495","GARRITANO","Chievo"
"496","GRAVILLON","Benevento"
"497","GAUDINO","Chievo"
"498","BORINI","Milan"
"499","MARUSIC","Lazio"
"500","CODA M","Benevento"
"501","INGELSSON","Udinese"
"502","BONIFAZI","Torino"
"503","GONALONS","Roma"
"504","CALHANOGLU","Milan"
"505","OUNAS","Napoli"
"506","GALABINOV","Genoa"
"507","CASTAGNE","Atalanta"
"508","KOWNACKI","Sampdoria"
"509","ZUCULINI B","Verona"
"510","DOUGLAS COSTA","Juventus"
"511","UNDER","Roma"
"512","CABRERA","Crotone"
"513","DI CHIARA","Benevento"
"514","COSSU","Cagliari"
"515","BERENGUER","Torino"
"516","FELICIOLI","Verona"
"517","ZEKHNINI","Fiorentina"
"518","JAROSZYNSKI","Chievo"
"519","LUCAS LEIVA","Lazio"
"520","FALLETTI","Bologna"
"521","SILVESTRI","Verona"
"522","VAISANEN","SPAL"
"523","CASSATA","Sassuolo"
"524","KOLAROV","Roma"
"525","VERETOUT","Fiorentina"
"526","KONATE","SPAL"
"527","GYAMFI","Benevento"
"528","LOPEZ W","Benevento"
"529","LUCIONI","Benevento"
"530","PADELLA","Benevento"
"531","CICIRETTI","Benevento"
"532","DEL PINTO","Benevento"
"533","MELARA","Benevento"
"534","CERAVOLO","Benevento"
"535","CISSE' K","Benevento"
"536","SANTURRO","Bologna"
"537","DEL FABRO","Juventus"
"538","VISCOVO","Crotone"
"539","MARCHIZZA","Sassuolo"
"540","BANDINELLI","Sassuolo"
"541","MARCHEGIANI","SPAL"
"542","POLUZZI","SPAL"
"543","GASPARETTO","SPAL"
"544","POLVANI","SPAL"
"545","VICARI","SPAL"
"546","ARINI","SPAL"
"547","LAZZARI M","SPAL"
"548","MORA","SPAL"
"549","SCHIATTARELLA","SPAL"
"550","SCHIAVON","SPAL"
"551","ANTENUCCI","SPAL"
"552","FINOTTO","SPAL"
"553","ZACCAGNO","Torino"
"554","NICOLAS","Verona"
"555","BROSCO","Verona"
"556","CARACCIOLO A","Verona"
"557","VALOTI","Verona"
"558","LUPPI","Verona"
"559","COTTICELLI","Benevento"
"560","ROMAGNA","Cagliari"
"561","NUYTINCK","Udinese"
"562","VIDO","Atalanta"
"563","BAJIC","Udinese"
"564","CAICEDO","Lazio"
"565","BANI","Chievo"
"566","CROCIATA","Crotone"
"567","RAMIREZ","Sampdoria"
"568","N'KOULOU","Torino"
"569","DALBERT","Inter"
"570","EYSSERIC","Fiorentina"
"571","RODRIGUEZ T","Genoa"
"572","CENTURION","Genoa"
"573","OMEONGA","Genoa"
"574","CEROFOLINI","Fiorentina"
"575","CONFENTE","Chievo"
"576","MANCINI G","Atalanta"
"577","ROSSI F","Atalanta"
"578","BOCHNIEWICZ","Udinese"
"579","PALOMBI","Lazio"
"580","LEVERBE","Sampdoria"
"581","GIL DIAS","Fiorentina"
"582","BEHRAMI","Udinese"
"583","MIGLIORE","Genoa"
"584","SALCEDO MORA","Genoa"
"585","PISCITELLI","Benevento"
"586","MATUIDI","Juventus"
"587","PEZZELLA GER","Fiorentina"
"588","CANCELO","Inter"
"589","HRISTOV","Fiorentina"
"590","TOMIC","Sampdoria"
"591","BRLEK","Genoa"
"592","STRYGER LARSEN","Udinese"
"593","ZANELLATO","Crotone"
"594","BRIGNOLA","Benevento"
"595","ROGERIO","Sassuolo"
"596","VAN DER WIEL","Cagliari"
"597","ANDERSEN","Sampdoria"
"598","ARMENTEROS","Benevento"
"599","HOWEDES","Juventus"
"600","NANI","Lazio"
"601","LEE","Verona"
"602","KARAMOH","Inter"
"603","ROMERO A","Crotone"
"604","STEPINSKI","Chievo"
"605","VANHEUSDEN","Inter"
"606","KEITA C","Bologna"
"607","MIKULIC","Sampdoria"
"608","BORSELLINI","Udinese"
"609","BRUNO JORDAO","Lazio"
"610","PEDRO NETO","Lazio"
"611","LERIS","Chievo"
"612","LUIZ FELIPE","Lazio"
"613","BEARZOTTI","Verona"
"614","LEMOS","Sassuolo"
"615","KANOUTE","Benevento"
"616","CALVANO","Verona"
"617","BILLONG","Benevento"
"618","GUILHERME","Benevento"
"619","SANDRO","Benevento"
"620","MACHACH","Napoli"
"621","DIABATE'","Benevento"
"622","AVENATTI","Bologna"
"623","LISANDRO LOPEZ","Inter"
"624","EVERTON LUIZ","SPAL"
"625","LYKOGIANNIS","Cagliari"
"626","CETER","Cagliari"
"627","RAFINHA","Inter"
"628","VUKOVIC","Verona"
"629","ANTONUCCI","Roma"
"630","MEDEIROS","Genoa"
"631","DABO","Fiorentina"
"632","SILVA J","Roma"
"633","AARONS","Verona"
"634","TOSCA","Benevento"
"635","TANASIJEVIC","Chievo"
"636","EL YAMIQ","Genoa"
"637","DIABY","Crotone"
"638","BALDE'","Sampdoria"
"639","BARROW","Atalanta"
"640","SAGNA","Benevento"
"641","RAVAGLIA","Bologna"
"642","VOLPICELLI","Benevento"
"643","BUONGIORNO","Torino"
"644","CALIGARA","Cagliari"
"645","DANZI","Verona"
"646","PELLEGRINI LU","Roma"
"647","SPARANDEO","Benevento"
"648","STIJEPOVIC","Sampdoria"
"649","SANOGO","Benevento"
"650","TORRASI","Milan"
"651","RUTJENS","Benevento"
