"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","FantasyEvaluation"
329,"D","RADU",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2007,"D","WALLACE",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
2085,"C","LUIS ALBERTO",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5
338,"C","LULIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2188,"C","MARUSIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
645,"C","MILINKOVIC-SAVIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
342,"C","PAROLO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
785,"A","IMMOBILE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2299,"A","PALOMBI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2284,"A","CAICEDO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
826,"ALL","INZAGHI S",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
350,"P","DONNARUMMA G",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
353,"D","ABATE",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
286,"D","BONUCCI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
11,"D","CONTI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2168,"D","MUSACCHIO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2169,"D","RODRIGUEZ R",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2194,"C","CALHANOGLU",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
1850,"C","KESSIE'",7,0,0,0,0,1,0,0,0,0,0,1,0,1,10
827,"C","LOCATELLI M",6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,6.5
375,"C","SUSO",7.5,1,0,0,0,0,0,0,0,1,0,0,0,1,11.5
371,"C","MAURI J",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2175,"A","ANDRE' SILVA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2187,"A","BORINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2155,"A","CUTRONE",7.5,1,0,0,0,0,0,1,0,1,0,0,0,1,11.5
763,"ALL","MONTELLA",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
387,"P","REINA",6.5,0,1,0,0,0,0,0,0,0,0,0,0,1,5.5
640,"D","CHIRICHES",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
390,"D","GHOULAM",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10
140,"D","HYSAJ",5,0,0,0,0,0,0,0,1,0,0,0,0,1,5
392,"D","KOULIBALY",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
397,"C","ALLAN",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
58,"C","DIAWARA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
702,"C","GIACCHERINI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
402,"C","HAMSIK",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
152,"C","ZIELINSKI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
406,"A","CALLEJON",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
409,"A","INSIGNE",7.5,0,0,0,0,0,0,0,0,1,0,0,0,1,8.5
410,"A","MERTENS",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2012,"A","MILIK",7,1,0,0,0,0,0,0,0,0,0,1,0,1,10
688,"ALL","SARRI",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1964,"P","ALISSON",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
546,"D","BRUNO PERES",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2016,"D","FAZIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
256,"D","JUAN JESUS",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2214,"D","KOLAROV",7,1,0,0,0,0,0,0,0,0,0,1,0,1,10
459,"D","MANOLAS",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
463,"C","DE ROSSI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
467,"C","NAINGGOLAN",6.5,0,0,0,0,0,0,1,0,0,0,0,0,1,6.5
530,"C","PELLEGRINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
237,"C","PEROTTI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
470,"C","STROOTMAN",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
643,"A","DEFREL",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5
647,"A","DZEKO",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
795,"A","EL SHAARAWY",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
691,"ALL","DI FRANCESCO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
483,"P","PUGGIONI",6.5,0,1,0,0,0,0,0,0,0,0,0,0,1,5.5
197,"D","PAVLOVIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
490,"D","REGINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
630,"D","SALA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
492,"D","SILVESTRE",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
494,"C","BARRETO E",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
1995,"C","DJURICIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2008,"C","LINETTY",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2065,"C","PRAET",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
1972,"C","TORREIRA",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2287,"C","RAMIREZ",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5
505,"A","BONAZZOLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1958,"A","CAPRARI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
568,"A","QUAGLIARELLA",7.5,2,0,0,0,0,0,0,0,0,0,1,0,1,13.5
681,"ALL","GIAMPAOLO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
509,"P","CONSIGLI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
513,"D","ACERBI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
516,"D","CANNAVARO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2006,"D","LIROLA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
521,"D","PELUSO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
526,"C","DUNCAN",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
528,"C","MAGNANELLI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
529,"C","MISSIROLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1978,"C","SENSI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
531,"A","BERARDI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
532,"A","FALCINELLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
380,"A","MATRI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
536,"A","POLITANO",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5
2073,"A","RAGUSA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2254,"ALL","BUCCHI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
540,"P","GOMIS A",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
817,"D","COSTA F",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
106,"D","MATTIELLO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
52,"D","OIKONOMOU",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2261,"D","VICARI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
1893,"D","CREMONESI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2212,"D","VAISANEN",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2263,"C","LAZZARI M",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2264,"C","MORA",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2265,"C","SCHIATTARELLA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
631,"C","VIVIANI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
533,"A","FLOCCARI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
126,"A","PALOSCHI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
722,"A","BORRIELLO",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
2269,"ALL","SEMPLICI",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2179,"P","SIRIGU",6,0,1,0,0,0,0,0,0,0,0,0,0,1,5
551,"D","MOLINARO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
552,"D","MORETTI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
554,"D","ZAPPACOSTA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2288,"D","N'KOULOU",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
555,"C","ACQUAH",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
238,"C","RINCON",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
2205,"C","BERENGUER",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
560,"C","OBI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
441,"A","BELOTTI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
475,"A","IAGO FALQUE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
478,"A","LJAJIC",7,1,0,0,0,0,0,0,0,0,0,0,1,1,10
687,"ALL","MIHAJLOVIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
574,"P","SCUFFET",5,0,2,0,0,0,0,0,0,0,0,0,0,1,3
1984,"D","ANGELLA",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
770,"D","PEZZELLA GIU",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
790,"D","SAMIR",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
587,"D","WAGUE",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2280,"D","NUYTINCK",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
1996,"C","DE PAUL",6,0,0,0,0,0,0,0,0,1,0,0,0,1,7
1986,"C","FOFANA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
626,"C","HALLFREDSSON",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
1987,"C","JANKTO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2302,"C","BEHRAMI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
90,"A","LASAGNA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
605,"A","PERICA",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5
606,"A","THEREAU",6.5,1,0,0,0,0,0,0,0,0,0,0,0,1,9.5
766,"ALL","DELNERI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2271,"P","NICOLAS",5.5,0,3,0,0,0,0,0,0,0,0,0,0,1,2.5
45,"D","FERRARI A",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
583,"D","HEURTAUX",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5
621,"D","ROMULO",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5
622,"D","SOUPRAYEN",4.5,0,0,0,0,0,1,0,0,0,0,0,0,1,4.5
287,"D","CACERES",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
264,"C","BESSA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
297,"C","BUCHEL",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2274,"C","VALOTI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
632,"C","ZACCAGNI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
378,"A","CERCI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
633,"A","FARES",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
636,"A","PAZZINI",6.5,0,0,0,0,1,0,0,0,0,0,0,0,1,9.5
215,"A","VERDE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2282,"ALL","PECCHIA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
316,"P","BERISHA",6,0,3,0,0,0,0,0,0,0,0,0,0,2,3
2160,"D","GOSENS",6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2130,"D","HATEBOER",6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
15,"D","MASIELLO A",6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2181,"D","PALOMINO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,5.5
695,"D","TOLOI",6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
28,"C","KURTIC",5.5,0,0,0,0,0,0,1,0,0,0,0,0,2,5.5
177,"C","ILICIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,5.5
788,"C","FREULER",5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,5.5
779,"C","CRISTANTE",6.5,1,0,0,0,0,0,0,0,0,0,0,0,2,9.5
22,"C","DE ROON",5,0,0,0,0,0,0,1,0,0,0,0,0,2,5
26,"A","GOMEZ A",5.5,0,0,0,0,0,0,0,0,0,1,0,0,2,5.5
